lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
бог	NN	example	22	22_бог_28735		Правда ли ей трудно очень было или надо мной она покуражиться захотела, бог ее знает.	72:75	0:85
бог	NN	example	22	22_бог_54290		Она говорит... она бог знает что говорит и не объясняет мне цели!	19:22	0:65
бог	NN	example	22	22_бог_16754		«Забыть?-- забвенья не дал бог: да он и не взял бы забвенья!»,«...Спастись от думы неизбежной и незабвенное забыть!»,«...И лучших дней воспоминанья пред ним теснилися толпой»,«В душе моей, с начала мира, твой образ был запечатлен...».	27:30	0:234
бог	NN	example	22	22_бог_28830		Я каждое утро бога благодарю, што я мужиком родился, а не холуем...	14:18	0:67
бог	NN	example	22	22_бог_23746		Бог услышал молитву их, и вечером разразилась сильная гроза с дождем, еще первым за все весну.	0:3	0:94
бог	NN	example	22	22_бог_21320		Бог души не вынет, так сама не выйдет-- и впрямь!	0:3	0:49
бог	NN	example	22	22_бог_38133		-- И дай вам бог за вашу доброту, Михаил Михайлыч.	13:16	0:50
бог	NN	example	22	22_бог_33857		Вот, значит, что дает руке Ореста решительный толчок: не голос сердца, не воспоминание об отце, не увещания сестры-- все это пересилил вид обнаженной материнской груди; первым и последним двигателем кровавого дела остается воля дельфийского бога.	241:245	0:246
бог	NN	example	22	22_бог_9855		Это поезд проходит за лесом, он еще бог знает где, но идет к нашей станции, я услышу, как он загудит, подходя.	36:39	0:110
бог	NN	example	22	22_бог_7063		Да и бог с ним, пусть у бестолкового творца хоть сейчас все сдвинется с абсолютного нуля, тем более сегодня есть шанс.	5:8	0:118
бог	NN	example	22	22_бог_19576		Но там тащить было труднее, ему это не очень понравилось, он перестал смотреть на дорогу, а только и косил глазом, видимо, молясь своему богу, чтобы Василий заснул,-- и тогда радостно сворачивал на мостовую, но он не учитывал того, что от тряски Василий просыпался.	137:141	0:265
бог	NN	example	22	22_бог_63928		Ну, прощайте, милый П. В. Когда увидимся-- бог весть.	43:46	0:53
бог	NN	example	22	22_бог_29561		То, что с мещанскою пошлостью выговаривал Штирнер, исходя из торжественной посылки, Ницше колеблется изречь: порой мы встречаем в его текстах точки-- там, где связь мысли подсказывает:«Я-- бог».	189:192	0:194
бог	NN	example	22	22_бог_45414		Безбожных, нечестивых колонистов, в истинного бога не верующих, похваляет!..	46:50	0:76
бог	NN	example	22	22_бог_7613		-- Боже избави,-- воскликнул он,-- никаких советов Амундсену я давать не буду и не могу!	3:7	0:88
бог	NN	example	22	22_бог_60128		-- Меры она точно что принять может-с, да и запираться будет непременно, однако на это обращать внимания не следует, потому как с ними один разговор-- под арест-с, а там как бог рассудит...	174:177	0:189
бог	NN	example	22	22_бог_63741		Ступай с богом, только чур не лениться, жаль, если твоя физиономия меня обманет...	9:14	0:82
бог	NN	example	22	22_бог_57426		Раны мои чудесно хорошо идут, сверх моего ожидания, по крайней мере ожидаю я быть, хотя и не скоро, с ногою; мучения довольно, но все, благодаря бога, переношу с твердостию.	145:149	0:173
бог	NN	example	22	22_бог_39382		И все тихонько по храмам бегает: обоймет тёплый жертвенник и лежит, богов за него молит…	68:73	0:88
бог	NN	example	22	22_бог_21669		-- Она-- ихний бог,-- сказал Калина.	15:18	0:36
бог	NN	example	22	22_бог_29554		Чтобы обрести Диониса, он должен был скитаться по Элизию языческих теней и беседовать с эллинами по-эллински, как умел тот, чьи многие страницы кажутся переводом из Платона, владевшего, как говорили древние, речью богов.	33:36	0:220
бог	NN	example	22	22_бог_61714		Простите, господа! всему виною лишний десяток лет за плечами да врожденная наша украинская привычка, по которой часом у нас и слова не выманишь, будто губы на замке; а часом, коли бог пошлет охоту язык почесать,-- так и не остановишься: откуда слова берутся!	180:183	0:258
бог	NN	example	22	22_бог_5626		Снег еще не перемерз, рыхлый, еще лицо до крови не сечет, слава богу.	64:68	0:69
бог	NN	example	22	22_бог_57370		Таким образом, религия безусловного личного бога есть религия закона, потому что для самоутверждающегося человеческого я, пока оно остается в этом самоутверждении, безусловное существо необходимо должно являться как внешнее и воля его-- как внешний закон.	44:48	0:255
бог	NN	example	22	22_бог_63941		-- Да знаю я, слава богу.	20:24	0:25
бог	NN	example	22	22_бог_6152		Тамань-- богом забытый далекий куток на побережье.	9:14	0:50
бог	NN	example	22	22_бог_19635		Образованная чернь мазала калом вчерашнего бога с изумительным проворством.	43:47	0:75
бог	NN	example	22	22_бог_61740		-- Как бог еще терпит на свете такую пиявицу?	7:10	0:45
бог	NN	example	22	22_бог_52488		Ее родители были не нынешнего века-- люди строгие, дай бог им царство небесное!	55:58	0:79
бог	NN	example	22	22_бог_42594		Если не примут серьезных мер, скоро не только исчезнет вся деревянная Русь, но и каменные здания, не угодившие гостинодворскому вкусу малообразованных заправил, будут перекромсаны и разделаны, вроде той чудесной церкви древнего монастыря в Ростове Ярославском, в котором настоятель счистил фрески и покрыл его розовым стюком под мрамор,-суди его бог!	346:349	0:350
бог	NN	example	22	22_бог_64791		Бог мне свидетель, что я не имел в том ни малейшего участия, ни делом, ни словом: он рассудит нас в другой жизни.	0:3	0:113
бог	NN	example	22	22_бог_34594		Хозяевам что, хозяевам какое дело до того будет, что мы ни бога не знаем, ни семьи не видим, а уже как вырвешься из магазина, прямо в трактир, в гостиницу, сейчас тебе мамзельку,-- при этом приказчик скосил глаза на модисток, которые потупились,-- ну и пошел писать.	59:63	0:266
бог	NN	example	22	22_бог_23785		Какъ сынъ бога, медвѣдь является представителемъ правды за землѣ.	10:14	0:65
бог	NN	example	22	22_бог_44503		Требуют от человека бог знает чего, чего он не в силах сделать.	20:23	0:63
бог	NN	example	22	22_бог_284		Боже, как мне было это дико слышать когда-то.	0:4	0:45
