lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
год	NN	example	22	22_год_528067		И точно-- Митька возле клироса усердно отбивал поклоны, всенародно каялся в грехах и даже сознался, что в прошлом году спер и пропил козу у купца Бебешина.	114:118	0:155
год	NN	example	22	22_год_24299		По возвращении в Чечню в феврале 1994 года Басаев занял обособленное место, на некотором удалении от тогдашних«авторитетов».	38:42	0:124
год	NN	example	22	22_год_793336		Ровно десять лет тому назад в Константинополе, когда еще никто не знал его, кроме самых близких людей и товарищей по службе,-- я сказал ему так:	0:0	0:144
год	NN	example	22	22_год_761704		И так ждали... больше года прошло...-- говорил столяр, рассеянно поглядывая по сторонам.	22:26	0:88
год	NN	example	22	22_год_196908		Вопреки мнению исследователей, суп начали продавать именно в такой упаковке, и, по данным самой компании, за год продажи увеличились в 10 раз.	109:112	0:142
год	NN	example	22	22_год_381307		На Коллегии министерства 16 октября 1947 года первым взял слово директор знаменитой московской 110-й школы И.К. Новиков105.	41:45	0:123
год	NN	example	22	22_год_686858		Только тот, кто долго, многие и лучшие годы своей жизни мечтал об исполнении какого-нибудь серьезного плана, кто не жалел ничего для исполнения, начал уже это исполнение, презирая много препятствий,-- и вдруг увидел, что все планы его разбиты, в состоянии понять, что происходило во мне...	39:43	0:289
год	NN	example	22	22_год_702269		-- Сколько ж тебе ныне лет?	0:0	0:27
год	NN	example	22	22_год_61891		Она не знала, что Мая старше на год и уже имеет права на другой образ жизни.	32:35	0:76
год	NN	example	22	22_год_327286		С 1983 года началось их уничтожение в архивах министерских учреждений.	7:11	0:70
год	NN	example	22	22_год_265781		Правда, там работают BMW-- 20 штук, на приобретение которых пять лет назад власти потратили$340 тыс.	0:0	0:100
год	NN	example	22	22_год_525446		Так не потому ли, г. Шебуев, интеллигенция пока ударилась в книжную жизнь?	18:19	0:74
год	NN	example	22	22_год_626263		Но он крепился и держал себя твердо, как взрослый мужик, несмотря на свои тринадцать лет.	0:0	0:89
год	NN	example	22	22_год_653238		И почему-то совесть все эти годы не тревожила его.	28:32	0:50
год	NN	example	22	22_год_39559		В декабре 1945 года был отстранен-- по его собственной просьбе-- академик Капица:	15:19	0:81
год	NN	example	22	22_год_632108		Конечно, онъ преувеличивалъ,-- я за этотъ годъ хорошо испыталъ необыкновенную ясность и стройность того логическаго зодчества, которому предавался мой сильно развитый, но вполнѣ нормальный разумъ.	42:46	0:196
год	NN	example	22	22_год_172344		Другого настроения набросок того же года:	36:40	0:41
год	NN	example	22	22_год_110831		Именно в эту местность, на приморскую виллу вблизи руин древнего Карфагена, ранней весной 1934 года прибыла молодая русая женщина.	95:99	0:130
год	NN	example	22	22_год_399278		10 июля 1985 года агенты французских спецслужб затопили в новозеландском порту Окленд судно«Рейнбоу Уорриор».	13:17	0:109
год	NN	example	22	22_год_24500		Понадобилось несколько лет, чтобы наконец избавиться от горняцкой, пролетарской, жившей по всему Советскому Союзу мужниной родни.	56:65	0:129
год	NN	example	22	22_год_340952		График ежемесячного тиража журнала«Наука и жизнь» из года в год имеет пилообразный характер с полугодовым шагом-- результат того, что часть читателей забывает вовремя подписаться на журнал и рискует остаться с неполным комплектом.	53:56	0:230
год	NN	example	22	22_год_714271		Утихнув только накануне смерти, он скончался 4 ноября 1850 года, на 58 году от роду.	59:63	0:84
год	NN	example	22	22_год_278175		За два года службы в отаре собака уничтожила 27 волков и много раз приводила чабана в ущелья, где на слабых ножках стояли новорожденные ягнята.	7:11	0:143
год	NN	example	22	22_год_759284		Я безпрестанно обращался по этому поводу къ г. Михайловскому, но онъ относился отрицательно къ_моему предложенію сдѣлать запросъ и попытаться установить нѣкоторое единство въ этомъ случаѣ.	44:45	0:188
год	NN	example	22	22_год_597845		Эта панорама должна быть закончена к 15 июню текущего года.	54:58	0:59
год	NN	example	22	22_год_84409		Неужели впереди новые обострения, неужели через несколько лет она будет нести ту же словесную окрошку, что несет непрерывно Ира Либих?!	0:0	0:135
год	NN	example	22	22_год_397399		Таких измерительных шкал существует несколько, и одну из них предложил в 1935 году американский сейсмолог Чарльз Рихтер.	78:82	0:120
год	NN	example	22	22_год_728876		Тридцать лет длился у него процесс об аматиевской скрыпке и кончился тем, что он выиграл ее.	0:0	0:92
год	NN	example	22	22_год_564756		И только один из нас, русский профессор физики во Франкфуртском университете Февицкий, прекрасный христианин и настоящий ученый(после, в 1925-1926 годах, испанское правительство вызывало его в Барселону организовать физический факультет в университете, оттуда проездом он посетил меня в Париже и говорил на тему необычной сжимаемости материи), не вынес этого насилия и подал просьбу о сложении своих полномочий.	147:152	0:411
год	NN	example	22	22_год_166644		В связи с этим вспоминаю другой случай: в 1926 году некто Борис Буткевич прислал из Шанхая рассказ в«Новый дом», который я немедленно напечатала-- он был талантливый, и все потом(даже Бунин) говорили, что автор«обещает».	47:51	0:220
год	NN	example	22	22_год_433410		Спустя годы я снова услышу этот Володин крик с экрана, в финальной сцене«Каменного гостя».	7:11	0:90
год	NN	example	22	22_год_441308		Хватит пятнадцать лет заниматься донорством в сценарном отделе киностудии, хватит готовить заявки-поправки, сочинять заключения-представления, умничать на редсоветах-худсоветах...	82:90	0:179
год	NN	example	22	22_год_667126		Александров назовет свое имя и год выпуска, но священник только покачает головою с жалостным видом.	31:34	0:99
год	NN	example	22	22_год_269325		К примеру, модель моста-гаража, который придумал в 1925 году для Парижа русский архитектор Константин Мельников.	56:60	0:112
год	NN	example	22	22_год_67014		И еще: города будущего(графика)-- это то, что только в последние годы стали«открывать» западные футурологи.	65:69	0:107
