identifier	cluster
22_бог_28830	0
22_бог_7613	0
22_бог_52488	0
22_бог_61714	0
22_бог_5626	0
22_бог_45414	0
22_бог_63741	0
22_бог_21320	0
22_бог_34594	0
22_бог_61740	0
22_бог_19576	0
22_бог_9855	0
22_бог_33857	0
22_бог_44503	0
22_бог_23746	0
22_бог_63941	0
22_бог_38133	0
22_бог_39382	0
22_бог_23785	0
22_бог_284	0
22_бог_60128	0
22_бог_64791	0
22_бог_57370	0
22_бог_28735	0
22_бог_57426	0
22_бог_42594	0
22_бог_63928	0
22_бог_54290	0
22_бог_7063	0
22_бог_16754	0
22_бог_6152	0
22_бог_29561	1
22_бог_21669	1
22_бог_19635	2
