identifier	cluster
22_год_39559	0
22_год_626263	0
22_год_761704	0
22_год_278175	0
22_год_597845	0
22_год_24299	0
22_год_397399	0
22_год_632108	0
22_год_399278	0
22_год_714271	0
22_год_381307	0
22_год_61891	0
22_год_340952	0
22_год_265781	0
22_год_564756	0
22_год_166644	0
22_год_110831	0
22_год_269325	0
22_год_172344	0
22_год_67014	0
22_год_327286	0
22_год_528067	0
22_год_667126	1
22_год_84409	1
22_год_196908	1
22_год_793336	1
22_год_441308	1
22_год_728876	1
22_год_686858	2
22_год_433410	2
22_год_653238	2
22_год_24500	2
22_год_702269	2
