identifier	cluster
22_город_203933	0
22_город_90060	0
22_город_89764	0
22_город_116989	0
22_город_78910	0
22_город_437	0
22_город_104368	0
22_город_112906	0
22_город_174137	0
22_город_105083	0
22_город_93924	0
22_город_19137	0
22_город_187995	0
22_город_171137	0
22_город_66169	0
22_город_35644	0
22_город_142461	0
22_город_159056	0
22_город_167450	0
22_город_177417	0
22_город_66791	0
22_город_124350	0
22_город_210519	0
22_город_76152	0
22_город_34323	0
22_город_179036	0
22_город_51275	0
22_город_125061	0
22_город_36302	0
22_город_110221	0
22_город_106153	0
22_город_136162	1
