identifier	cluster
22_государство_57840	0
22_государство_16451	0
22_государство_13899	0
22_государство_58012	0
22_государство_19819	0
22_государство_17828	0
22_государство_18555	0
22_государство_15390	0
22_государство_7464	0
22_государство_20522	0
22_государство_15276	0
22_государство_36344	0
22_государство_27088	0
22_государство_23585	0
22_государство_16800	0
22_государство_62970	0
22_государство_31955	0
22_государство_46866	0
22_государство_26234	0
22_государство_67126	0
22_государство_18367	0
22_государство_56884	0
22_государство_46301	0
22_государство_3278	0
22_государство_49943	0
22_государство_32282	0
22_государство_7804	0
22_государство_7278	0
22_государство_7039	0
22_государство_8737	0
22_государство_16360	0
22_государство_11133	0
22_государство_55003	0
22_государство_40385	1
22_государство_35923	2
