identifier	cluster
22_дело_169009	0
22_дело_58783	0
22_дело_134928	0
22_дело_135504	0
22_дело_233559	0
22_дело_396220	0
22_дело_213701	0
22_дело_55628	1
22_дело_406532	1
22_дело_323493	1
22_дело_156361	1
22_дело_155440	1
22_дело_264998	1
22_дело_389874	2
22_дело_108632	2
22_дело_395503	2
22_дело_18915	2
22_дело_232829	2
22_дело_167615	2
22_дело_327714	3
22_дело_294635	3
22_дело_410759	3
22_дело_293461	4
22_дело_355052	4
22_дело_118244	4
22_дело_420824	5
22_дело_279524	5
22_дело_372346	6
22_дело_307465	6
22_дело_102013	7
22_дело_347127	7
22_дело_89123	8
22_дело_221676	8
22_дело_280782	9
22_дело_349765	10
