identifier	cluster
22_день_405308	0
22_день_359380	0
22_день_403587	0
22_день_266580	0
22_день_396867	0
22_день_389299	0
22_день_157775	0
22_день_71083	0
22_день_334953	0
22_день_326112	0
22_день_240493	0
22_день_418498	0
22_день_249672	0
22_день_324335	0
22_день_376621	0
22_день_110763	0
22_день_179416	0
22_день_11260	0
22_день_216284	0
22_день_292488	0
22_день_119690	0
22_день_330308	0
22_день_146448	0
22_день_397999	0
22_день_128557	0
22_день_404237	1
22_день_323483	1
22_день_199711	2
22_день_339168	2
22_день_18409	3
22_день_337727	3
22_день_327258	4
