identifier	cluster
22_друг_92452	0
22_друг_68057	0
22_друг_84774	0
22_друг_37317	0
22_друг_107881	0
22_друг_97576	0
22_друг_49566	0
22_друг_5179	0
22_друг_78730	0
22_друг_69725	0
22_друг_64569	0
22_друг_4464	0
22_друг_15837	0
22_друг_107987	0
22_друг_16156	0
22_друг_29935	0
22_друг_105286	0
22_друг_23635	0
22_друг_9285	0
22_друг_39540	0
22_друг_39535	0
22_друг_92206	0
22_друг_66890	0
22_друг_536	0
22_друг_11965	0
22_друг_80439	0
22_друг_69041	1
22_друг_52001	1
22_друг_70763	1
22_друг_33379	1
22_друг_62301	1
22_друг_84492	1
22_друг_22307	1
22_друг_14592	1
22_друг_68409	2
