identifier	cluster
22_жена_37732	0
22_жена_85220	0
22_жена_6414	0
22_жена_95124	0
22_жена_70048	0
22_жена_100491	0
22_жена_84953	0
22_жена_7073	0
22_жена_1384	0
22_жена_62581	0
22_жена_566	0
22_жена_98646	0
22_жена_179	0
22_жена_95368	0
22_жена_59995	0
22_жена_58921	0
22_жена_110329	0
22_жена_83289	0
22_жена_85364	0
22_жена_94886	0
22_жена_9150	0
22_жена_7691	0
22_жена_96841	0
22_жена_74196	0
22_жена_109469	0
22_жена_104339	0
22_жена_109468	0
22_жена_105842	0
22_жена_52486	0
22_жена_106013	0
22_жена_26928	0
22_жена_98970	0
22_жена_76356	0
22_жена_116208	0
22_жена_43622	1
