identifier	cluster
22_женщина_98468	0
22_женщина_53795	0
22_женщина_57436	0
22_женщина_130437	0
22_женщина_18424	0
22_женщина_100047	0
22_женщина_42792	0
22_женщина_2536	0
22_женщина_133936	0
22_женщина_14744	0
22_женщина_89747	0
22_женщина_3729	0
22_женщина_39537	0
22_женщина_5791	0
22_женщина_83472	0
22_женщина_112898	0
22_женщина_87968	0
22_женщина_21773	0
22_женщина_27744	0
22_женщина_14873	0
22_женщина_96315	0
22_женщина_29083	0
22_женщина_126866	0
22_женщина_137987	0
22_женщина_24481	0
22_женщина_95705	0
22_женщина_11178	0
22_женщина_128902	0
22_женщина_131675	0
22_женщина_71578	0
22_женщина_35393	0
22_женщина_33098	0
22_женщина_128947	0
22_женщина_29637	0
22_женщина_87123	0
