identifier	cluster
22_жизнь_203585	0
22_жизнь_134464	0
22_жизнь_6489	0
22_жизнь_389447	0
22_жизнь_252491	0
22_жизнь_91372	0
22_жизнь_136503	0
22_жизнь_64387	0
22_жизнь_45705	0
22_жизнь_26274	0
22_жизнь_327519	0
22_жизнь_240891	0
22_жизнь_47733	0
22_жизнь_248996	0
22_жизнь_197866	0
22_жизнь_138951	0
22_жизнь_385036	0
22_жизнь_175161	0
22_жизнь_60681	0
22_жизнь_306439	0
22_жизнь_178281	0
22_жизнь_362711	0
22_жизнь_40735	0
22_жизнь_73834	0
22_жизнь_116186	0
22_жизнь_145329	0
22_жизнь_65726	0
22_жизнь_300960	1
22_жизнь_364830	1
22_жизнь_251986	1
22_жизнь_134075	1
22_жизнь_46198	1
22_жизнь_206023	1
22_жизнь_177881	2
22_жизнь_202812	3
