identifier	cluster
22_лицо_49709	0
22_лицо_193738	0
22_лицо_84309	0
22_лицо_169726	0
22_лицо_174609	0
22_лицо_12467	0
22_лицо_273185	0
22_лицо_52346	0
22_лицо_103392	0
22_лицо_224610	0
22_лицо_28520	0
22_лицо_165971	0
22_лицо_50443	0
22_лицо_182423	0
22_лицо_12569	0
22_лицо_166972	0
22_лицо_57590	0
22_лицо_11337	0
22_лицо_117210	0
22_лицо_177086	0
22_лицо_247952	0
22_лицо_60742	0
22_лицо_74392	0
22_лицо_260165	1
22_лицо_78183	1
22_лицо_173292	1
22_лицо_82365	1
22_лицо_258805	1
22_лицо_93654	1
22_лицо_119016	1
22_лицо_53691	1
22_лицо_155367	1
22_лицо_33148	1
22_лицо_158442	1
22_лицо_54550	2
