identifier	cluster
22_место_43372	0
22_место_251398	0
22_место_213515	0
22_место_152865	0
22_место_82216	0
22_место_211671	0
22_место_196109	0
22_место_167861	0
22_место_85824	0
22_место_59267	0
22_место_124570	0
22_место_139402	0
22_место_22490	0
22_место_276219	0
22_место_37957	0
22_место_65346	0
22_место_88255	0
22_место_267533	0
22_место_75057	0
22_место_43841	0
22_место_58050	0
22_место_106842	0
22_место_167031	0
22_место_42556	0
22_место_36618	0
22_место_271136	1
22_место_94395	1
22_место_113731	1
22_место_82797	1
22_место_74171	1
22_место_160423	1
22_место_224087	2
22_место_95036	2
22_место_231478	2
22_место_156296	3
