identifier	cluster
22_мир_111271	0
22_мир_59576	0
22_мир_69865	0
22_мир_135580	0
22_мир_8564	0
22_мир_8106	0
22_мир_111526	0
22_мир_86185	0
22_мир_49549	0
22_мир_56462	0
22_мир_169719	0
22_мир_161314	0
22_мир_100830	0
22_мир_115643	0
22_мир_47483	0
22_мир_101929	0
22_мир_133710	0
22_мир_37967	0
22_мир_123514	0
22_мир_152963	0
22_мир_158012	0
22_мир_40575	0
22_мир_148730	0
22_мир_46557	0
22_мир_144730	0
22_мир_162688	1
22_мир_125827	1
22_мир_60220	1
22_мир_183623	1
22_мир_17792	2
22_мир_67429	2
22_мир_162854	2
22_мир_141524	3
22_мир_21120	4
