identifier	cluster
22_ночь_74100	0
22_ночь_112465	0
22_ночь_32378	0
22_ночь_12265	0
22_ночь_24815	0
22_ночь_86464	0
22_ночь_103112	0
22_ночь_71589	0
22_ночь_90169	0
22_ночь_350	0
22_ночь_42026	0
22_ночь_106354	0
22_ночь_130761	0
22_ночь_23594	0
22_ночь_134852	0
22_ночь_32777	0
22_ночь_115837	0
22_ночь_76791	0
22_ночь_24596	0
22_ночь_101458	0
22_ночь_84101	0
22_ночь_111118	0
22_ночь_61150	0
22_ночь_81285	0
22_ночь_34115	0
22_ночь_14439	0
22_ночь_74431	0
22_ночь_41255	0
22_ночь_31259	0
22_ночь_6360	0
22_ночь_56027	0
22_ночь_11965	0
22_ночь_72418	0
22_ночь_115068	0
22_ночь_123731	0
