identifier	cluster
22_работа_63228	0
22_работа_151439	0
22_работа_137457	0
22_работа_84078	0
22_работа_9254	0
22_работа_39392	0
22_работа_25024	0
22_работа_12424	0
22_работа_200211	0
22_работа_132721	0
22_работа_31434	0
22_работа_87903	0
22_работа_211196	0
22_работа_98325	0
22_работа_222420	0
22_работа_151578	0
22_работа_158046	0
22_работа_91791	0
22_работа_101477	0
22_работа_177434	0
22_работа_114937	1
22_работа_122208	1
22_работа_132842	1
22_работа_197518	1
22_работа_178729	1
22_работа_133705	1
22_работа_51074	1
22_работа_81343	2
22_работа_119947	2
22_работа_238254	2
22_работа_60413	2
22_работа_117084	3
22_работа_219967	3
22_работа_149219	3
22_работа_111162	4
