identifier	cluster
22_результат_40113	0
22_результат_66477	0
22_результат_9801	0
22_результат_44667	0
22_результат_2809	0
22_результат_9823	0
22_результат_29038	0
22_результат_73365	0
22_результат_16247	0
22_результат_47851	0
22_результат_32029	0
22_результат_46966	0
22_результат_49657	0
22_результат_29953	0
22_результат_35280	0
22_результат_72965	0
22_результат_29350	0
22_результат_17995	0
22_результат_52876	0
22_результат_61333	0
22_результат_32987	0
22_результат_57689	0
22_результат_48832	0
22_результат_15466	0
22_результат_38190	0
22_результат_19345	0
22_результат_10427	0
22_результат_3779	0
22_результат_60888	0
22_результат_1962	0
22_результат_16954	0
22_результат_31518	0
22_результат_217	0
22_результат_70170	1
22_результат_11136	1
