identifier	cluster
22_рука_205237	0
22_рука_129836	0
22_рука_26126	0
22_рука_234042	0
22_рука_87115	0
22_рука_348398	0
22_рука_5065	0
22_рука_290981	0
22_рука_233294	0
22_рука_190857	0
22_рука_295261	0
22_рука_50737	0
22_рука_97307	0
22_рука_15719	0
22_рука_103539	0
22_рука_221707	0
22_рука_290655	0
22_рука_345080	0
22_рука_50634	0
22_рука_100928	0
22_рука_93698	0
22_рука_329395	0
22_рука_381607	0
22_рука_260578	0
22_рука_225133	0
22_рука_300886	0
22_рука_307746	0
22_рука_13370	0
22_рука_91787	0
22_рука_157600	0
22_рука_90914	0
22_рука_45691	0
22_рука_47202	0
22_рука_141845	1
22_рука_364076	2
