identifier	cluster
22_сила_39421	0
22_сила_31691	0
22_сила_97143	0
22_сила_198182	0
22_сила_19460	0
22_сила_161245	0
22_сила_147984	0
22_сила_66688	0
22_сила_189492	0
22_сила_130771	0
22_сила_154228	0
22_сила_164282	0
22_сила_150258	0
22_сила_63147	0
22_сила_157831	0
22_сила_105389	1
22_сила_88124	1
22_сила_123575	1
22_сила_57698	1
22_сила_54333	1
22_сила_138447	1
22_сила_168416	1
22_сила_196812	1
22_сила_87393	1
22_сила_179939	1
22_сила_104410	2
22_сила_88453	2
22_сила_196065	2
22_сила_89603	2
22_сила_96364	2
22_сила_118736	2
22_сила_160846	3
22_сила_125326	3
22_сила_59067	4
22_сила_112496	5
