identifier	cluster
22_слово_19299	0
22_слово_167108	0
22_слово_322490	0
22_слово_318765	0
22_слово_154382	0
22_слово_198812	0
22_слово_76059	0
22_слово_56833	0
22_слово_321329	0
22_слово_211129	0
22_слово_114407	0
22_слово_95335	0
22_слово_114260	0
22_слово_288987	0
22_слово_100646	0
22_слово_23666	0
22_слово_319179	0
22_слово_301877	0
22_слово_19607	0
22_слово_170539	1
22_слово_134594	1
22_слово_74731	1
22_слово_201401	1
22_слово_78262	1
22_слово_83699	1
22_слово_214330	1
22_слово_315584	1
22_слово_147990	1
22_слово_128836	1
22_слово_291881	1
22_слово_48748	1
22_слово_242180	1
22_слово_145995	1
22_слово_45910	1
22_слово_7752	2
