identifier	cluster
22_тысяча_6377	0
22_тысяча_76876	0
22_тысяча_52084	0
22_тысяча_91639	0
22_тысяча_73377	0
22_тысяча_57380	0
22_тысяча_48215	0
22_тысяча_53977	0
22_тысяча_85867	0
22_тысяча_54023	0
22_тысяча_60018	0
22_тысяча_8080	0
22_тысяча_99694	0
22_тысяча_62216	0
22_тысяча_90136	0
22_тысяча_21378	0
22_тысяча_56205	0
22_тысяча_93894	0
22_тысяча_47430	0
22_тысяча_42632	0
22_тысяча_39913	0
22_тысяча_96757	0
22_тысяча_71069	0
22_тысяча_84374	0
22_тысяча_59418	0
22_тысяча_9318	0
22_тысяча_66651	0
22_тысяча_3487	0
22_тысяча_10442	0
22_тысяча_41147	1
22_тысяча_78189	1
22_тысяча_39979	1
22_тысяча_72141	1
22_тысяча_77339	1
22_тысяча_76793	2
