identifier	cluster
22_человек_687507	0
22_человек_712364	0
22_человек_380247	0
22_человек_438427	0
22_человек_206914	0
22_человек_769754	0
22_человек_775762	0
22_человек_707501	0
22_человек_469118	0
22_человек_543212	0
22_человек_86283	0
22_человек_634729	0
22_человек_718998	0
22_человек_319035	0
22_человек_534510	0
22_человек_289117	0
22_человек_107444	0
22_человек_380179	0
22_человек_458068	0
22_человек_7753	0
22_человек_305739	0
22_человек_159630	0
22_человек_810505	0
22_человек_557289	0
22_человек_804007	0
22_человек_440746	0
22_человек_812096	0
22_человек_572001	0
22_человек_708144	0
22_человек_643881	0
22_человек_27291	0
22_человек_210033	0
22_человек_669082	0
22_человек_520437	1
22_человек_98771	2
