identifier1	identifier2	annotator	judgment	comment	lemma
27726	27748	georg_lonsh	3	comment	бог
27726	27736	georg_lonsh	4	comment	бог
27726	27721	raskolrus	2	comment	бог
27726	27742	georg_lonsh	3	comment	бог
27726	27724	raskolrus	2	comment	бог
27726	27720	erykov1234	4	comment	бог
27726	27748	raskolrus	2	comment	бог
27726	27747	erykov1234	3	comment	бог
27726	27725	erykov1234	3	comment	бог
27726	27719	georg_lonsh	3	comment	бог
27726	27744	raskolrus	2	comment	бог
27739	27732	raskolrus	4	comment	бог
27739	27727	erykov1234	3	comment	бог
27739	27721	erykov1234	4	comment	бог
27739	27745	georg_lonsh	3	comment	бог
27720	27743	raskolrus	2	comment	бог
27720	27732	raskolrus	4	comment	бог
27720	27729	erykov1234	3	comment	бог
27720	27721	georg_lonsh	4	comment	бог
27720	27747	raskolrus	4	comment	бог
27720	27746	erykov1234	3	comment	бог
27741	27727	raskolrus	4	comment	бог
27741	27734	erykov1234	3	comment	бог
27741	27728	georg_lonsh	3	comment	бог
27741	27723	raskolrus	2	comment	бог
27741	27738	erykov1234	3	comment	бог
27741	27738	georg_lonsh	4	comment	бог
27741	27733	georg_lonsh	3	comment	бог
27729	27743	erykov1234	2	comment	бог
27729	27745	raskolrus	4	comment	бог
27729	27738	erykov1234	3	comment	бог
27729	27717	erykov1234	0	comment	бог
27729	27719	georg_lonsh	3	comment	бог
27729	27732	raskolrus	4	comment	бог
27729	27722	erykov1234	3	comment	бог
27729	27748	erykov1234	4	comment	бог
27723	27730	georg_lonsh	4	comment	бог
27723	27722	erykov1234	4	comment	бог
27723	27716	georg_lonsh	3	comment	бог
27723	27728	erykov1234	3	comment	бог
27723	27718	erykov1234	4	comment	бог
27746	27728	raskolrus	2	comment	бог
27746	27730	georg_lonsh	3	comment	бог
27746	27729	raskolrus	2	comment	бог
27746	27737	raskolrus	3	comment	бог
27749	27745	erykov1234	4	comment	бог
27749	27733	raskolrus	2	comment	бог
27749	27719	raskolrus	4	comment	бог
27749	27720	erykov1234	3	comment	бог
27749	27730	erykov1234	3	comment	бог
27715	27741	raskolrus	4	comment	бог
27715	27724	raskolrus	4	comment	бог
27715	27739	georg_lonsh	4	comment	бог
27715	27748	erykov1234	3	comment	бог
27715	27722	georg_lonsh	3	comment	бог
27715	27734	erykov1234	3	comment	бог
27715	27736	erykov1234	3	comment	бог
27715	27722	erykov1234	3	comment	бог
27738	27746	erykov1234	4	comment	бог
27738	27747	raskolrus	3	comment	бог
27738	27720	georg_lonsh	3	comment	бог
27738	27749	raskolrus	2	comment	бог
27722	27718	raskolrus	3	comment	бог
27722	27741	raskolrus	3	comment	бог
27722	27731	raskolrus	3	comment	бог
27722	27721	georg_lonsh	4	comment	бог
27727	27742	georg_lonsh	3	comment	бог
27727	27732	georg_lonsh	3	comment	бог
27727	27740	georg_lonsh	3	comment	бог
27727	27737	georg_lonsh	3	comment	бог
27727	27731	raskolrus	4	comment	бог
27727	27726	georg_lonsh	3	comment	бог
27727	27743	georg_lonsh	2	comment	бог
27736	27718	georg_lonsh	4	comment	бог
27736	27727	raskolrus	2	comment	бог
27736	27739	georg_lonsh	3	comment	бог
27736	27725	georg_lonsh	4	comment	бог
27747	27718	raskolrus	4	comment	бог
27747	27735	raskolrus	2	comment	бог
27747	27748	erykov1234	3	comment	бог
27716	27748	georg_lonsh	3	comment	бог
27716	27723	raskolrus	4	comment	бог
27716	27747	erykov1234	3	comment	бог
27716	27744	georg_lonsh	3	comment	бог
27716	27728	erykov1234	3	comment	бог
27733	27718	raskolrus	2	comment	бог
27733	27740	georg_lonsh	3	comment	бог
27733	27747	raskolrus	3	comment	бог
27733	27729	erykov1234	3	comment	бог
27734	27721	erykov1234	3	comment	бог
27734	27718	raskolrus	2	comment	бог
27734	27729	georg_lonsh	3	comment	бог
27734	27725	georg_lonsh	4	comment	бог
27734	27736	raskolrus	3	comment	бог
27734	27732	raskolrus	3	comment	бог
27734	27741	georg_lonsh	3	comment	бог
27732	27731	georg_lonsh	3	comment	бог
27732	27737	georg_lonsh	4	comment	бог
27732	27718	georg_lonsh	4	comment	бог
27732	27745	erykov1234	4	comment	бог
27732	27716	erykov1234	4	comment	бог
27732	27736	erykov1234	4	comment	бог
27717	27729	raskolrus	0	comment	бог
27717	27718	raskolrus	0	comment	бог
27717	27735	erykov1234	3	comment	бог
27717	27743	erykov1234	2	comment	бог
27717	27732	georg_lonsh	3	comment	бог
27717	27727	georg_lonsh	4	comment	бог
27717	27730	raskolrus	0	comment	бог
27717	27728	raskolrus	0	comment	бог
27717	27736	raskolrus	0	comment	бог
27748	27739	erykov1234	3	comment	бог
27748	27732	georg_lonsh	4	comment	бог
27748	27721	georg_lonsh	3	comment	бог
27748	27731	erykov1234	3	comment	бог
27730	27737	erykov1234	3	comment	бог
27730	27741	raskolrus	4	comment	бог
27730	27718	georg_lonsh	3	comment	бог
27730	27745	raskolrus	4	comment	бог
27730	27731	georg_lonsh	4	comment	бог
27730	27743	georg_lonsh	2	comment	бог
27730	27725	georg_lonsh	3	comment	бог
27730	27722	raskolrus	2	comment	бог
27730	27733	erykov1234	3	comment	бог
27735	27721	erykov1234	4	comment	бог
27735	27741	erykov1234	2	comment	бог
27735	27737	erykov1234	2	comment	бог
27735	27748	raskolrus	2	comment	бог
27735	27720	erykov1234	3	comment	бог
27735	27725	erykov1234	2	comment	бог
27735	27737	raskolrus	2	comment	бог
27735	27716	erykov1234	2	comment	бог
27735	27718	erykov1234	2	comment	бог
27737	27741	erykov1234	3	comment	бог
27737	27738	erykov1234	3	comment	бог
27740	27749	raskolrus	4	comment	бог
27740	27743	georg_lonsh	2	comment	бог
27740	27745	raskolrus	2	comment	бог
27740	27721	georg_lonsh	3	comment	бог
27728	27732	georg_lonsh	3	comment	бог
27728	27727	erykov1234	3	comment	бог
27728	27719	erykov1234	3	comment	бог
27728	27745	erykov1234	3	comment	бог
27728	27748	erykov1234	3	comment	бог
27721	27723	erykov1234	4	comment	бог
27721	27725	georg_lonsh	4	comment	бог
27721	27727	georg_lonsh	3	comment	бог
27721	27718	georg_lonsh	4	comment	бог
27721	27729	raskolrus	3	comment	бог
27724	27748	raskolrus	4	comment	бог
27724	27740	erykov1234	3	comment	бог
27724	27726	georg_lonsh	3	comment	бог
27724	27722	raskolrus	3	comment	бог
27724	27731	erykov1234	3	comment	бог
27724	27745	erykov1234	3	comment	бог
27719	27744	erykov1234	4	comment	бог
27719	27724	raskolrus	4	comment	бог
27719	27736	georg_lonsh	3	comment	бог
27719	27740	erykov1234	3	comment	бог
27719	27747	raskolrus	4	comment	бог
27719	27728	raskolrus	2	comment	бог
27719	27738	raskolrus	3	comment	бог
27719	27734	georg_lonsh	3	comment	бог
27744	27741	raskolrus	4	comment	бог
27744	27745	raskolrus	4	comment	бог
27744	27729	raskolrus	4	comment	бог
27744	27732	georg_lonsh	4	comment	бог
27744	27734	erykov1234	3	comment	бог
27744	27731	raskolrus	4	comment	бог
27744	27716	erykov1234	3	comment	бог
27718	27743	raskolrus	2	comment	бог
27718	27742	raskolrus	2	comment	бог
27731	27724	raskolrus	4	comment	бог
27731	27742	georg_lonsh	3	comment	бог
27731	27721	raskolrus	4	comment	бог
27731	27730	raskolrus	4	comment	бог
27731	27719	erykov1234	3	comment	бог
27731	27719	georg_lonsh	3	comment	бог
27731	27719	raskolrus	4	comment	бог
27725	27747	raskolrus	2	comment	бог
27742	27720	raskolrus	2	comment	бог
27742	27736	georg_lonsh	3	comment	бог
27742	27747	erykov1234	1	comment	бог
27742	27733	georg_lonsh	3	comment	бог
27742	27721	raskolrus	2	comment	бог
27743	27735	erykov1234	3	comment	бог
27743	27721	raskolrus	2	comment	бог
27745	27743	georg_lonsh	2	comment	бог
