identifier1	identifier2	annotator	judgment	comment	lemma
28321	28325	raskolrus	4	comment	время
28321	28326	raskolrus	2	comment	время
28321	28314	georg_lonsh	3	comment	время
28321	28316	erykov1234	1	comment	время
28331	28326	raskolrus	4	comment	время
28331	28335	georg_lonsh	4	comment	время
28331	28323	raskolrus	2	comment	время
28331	28319	raskolrus	2	comment	время
28331	28315	georg_lonsh	3	comment	время
28327	28331	erykov1234	2	comment	время
28327	28328	raskolrus	3	comment	время
28327	28324	raskolrus	3	comment	время
28327	28314	raskolrus	2	comment	время
28327	28334	raskolrus	3	comment	время
28325	28329	erykov1234	4	comment	время
28325	28314	erykov1234	1	comment	время
28325	28310	georg_lonsh	3	comment	время
28325	28330	erykov1234	2	comment	время
28325	28344	raskolrus	3	comment	время
28325	28313	raskolrus	2	comment	время
28325	28341	raskolrus	3	comment	время
28325	28316	georg_lonsh	3	comment	время
28325	28323	erykov1234	1	comment	время
28325	28336	raskolrus	3	comment	время
28325	28332	raskolrus	2	comment	время
28325	28333	erykov1234	1	comment	время
28316	28319	erykov1234	1	comment	время
28316	28312	erykov1234	1	comment	время
28316	28327	raskolrus	2	comment	время
28316	28311	georg_lonsh	3	comment	время
28316	28310	raskolrus	2	comment	время
28316	28318	erykov1234	1	comment	время
28338	28342	erykov1234	3	comment	время
28338	28322	georg_lonsh	3	comment	время
28338	28316	georg_lonsh	3	comment	время
28338	28319	erykov1234	3	comment	время
28338	28319	georg_lonsh	3	comment	время
28338	28324	georg_lonsh	3	comment	время
28319	28317	raskolrus	2	comment	время
28319	28329	raskolrus	2	comment	время
28319	28327	georg_lonsh	3	comment	время
28319	28312	erykov1234	3	comment	время
28323	28326	georg_lonsh	4	comment	время
28323	28333	raskolrus	2	comment	время
28323	28329	erykov1234	1	comment	время
28323	28342	raskolrus	3	comment	время
28323	28321	erykov1234	4	comment	время
28336	28330	raskolrus	3	comment	время
28336	28340	georg_lonsh	3	comment	время
28336	28320	georg_lonsh	3	comment	время
28336	28339	erykov1234	2	comment	время
28336	28315	raskolrus	3	comment	время
28336	28332	erykov1234	1	comment	время
28340	28334	raskolrus	3	comment	время
28340	28325	raskolrus	3	comment	время
28340	28317	erykov1234	1	comment	время
28340	28324	raskolrus	2	comment	время
28340	28317	raskolrus	2	comment	время
28340	28341	raskolrus	3	comment	время
28340	28312	georg_lonsh	3	comment	время
28340	28322	raskolrus	2	comment	время
28329	28333	raskolrus	2	comment	время
