identifier1	identifier2	annotator	judgment	comment	lemma
28046	28050	raskolrus	2	comment	голова
28046	28031	erykov1234	2	comment	голова
28046	28030	raskolrus	2	comment	голова
28046	28059	georg_lonsh	4	comment	голова
28046	28039	raskolrus	4	comment	голова
28062	28040	raskolrus	2	comment	голова
28062	28037	erykov1234	4	comment	голова
28062	28060	georg_lonsh	4	comment	голова
28062	28040	georg_lonsh	4	comment	голова
28064	28038	georg_lonsh	4	comment	голова
28064	28050	georg_lonsh	3	comment	голова
28064	28053	georg_lonsh	2	comment	голова
28064	28035	georg_lonsh	3	comment	голова
28040	28036	georg_lonsh	4	comment	голова
28040	28061	erykov1234	3	comment	голова
28040	28054	georg_lonsh	4	comment	голова
28045	28063	georg_lonsh	4	comment	голова
28045	28059	raskolrus	4	comment	голова
28058	28034	georg_lonsh	4	comment	голова
28058	28040	erykov1234	1	comment	голова
28058	28039	erykov1234	2	comment	голова
28058	28056	raskolrus	2	comment	голова
28058	28054	raskolrus	2	comment	голова
28058	28033	raskolrus	2	comment	голова
28049	28033	raskolrus	4	comment	голова
28049	28034	raskolrus	2	comment	голова
28049	28035	raskolrus	2	comment	голова
28049	28048	raskolrus	4	comment	голова
28049	28050	erykov1234	2	comment	голова
28049	28043	erykov1234	2	comment	голова
28049	28044	raskolrus	4	comment	голова
28042	28043	georg_lonsh	3	comment	голова
28042	28055	erykov1234	2	comment	голова
28042	28039	erykov1234	4	comment	голова
28042	28030	raskolrus	2	comment	голова
28051	28054	erykov1234	4	comment	голова
28051	28032	raskolrus	2	comment	голова
28051	28052	erykov1234	3	comment	голова
28051	28053	raskolrus	2	comment	голова
28051	28057	raskolrus	2	comment	голова
28051	28042	erykov1234	4	comment	голова
28043	28054	georg_lonsh	3	comment	голова
28043	28030	raskolrus	2	comment	голова
28044	28051	georg_lonsh	4	comment	голова
28044	28041	raskolrus	4	comment	голова
28044	28062	raskolrus	4	comment	голова
28044	28063	georg_lonsh	4	comment	голова
28061	28044	erykov1234	3	comment	голова
28061	28047	georg_lonsh	4	comment	голова
28061	28055	raskolrus	2	comment	голова
28061	28053	raskolrus	2	comment	голова
28061	28059	erykov1234	3	comment	голова
28032	28063	georg_lonsh	3	comment	голова
28032	28054	georg_lonsh	3	comment	голова
28032	28033	raskolrus	2	comment	голова
28032	28053	erykov1234	3	comment	голова
28032	28055	raskolrus	4	comment	голова
28032	28054	raskolrus	2	comment	голова
28032	28045	raskolrus	2	comment	голова
28032	28054	erykov1234	3	comment	голова
28048	28031	erykov1234	2	comment	голова
28048	28046	georg_lonsh	4	comment	голова
28048	28042	erykov1234	3	comment	голова
28048	28035	raskolrus	2	comment	голова
28048	28036	raskolrus	4	comment	голова
28030	28054	georg_lonsh	2	comment	голова
28030	28055	georg_lonsh	2	comment	голова
28030	28053	raskolrus	2	comment	голова
28030	28050	georg_lonsh	2	comment	голова
28030	28039	erykov1234	1	comment	голова
28030	28047	erykov1234	1	comment	голова
28030	28051	raskolrus	2	comment	голова
28036	28057	raskolrus	2	comment	голова
28036	28054	erykov1234	4	comment	голова
28036	28057	erykov1234	1	comment	голова
28036	28061	georg_lonsh	4	comment	голова
28060	28053	raskolrus	2	comment	голова
28060	28050	erykov1234	2	comment	голова
28060	28051	raskolrus	4	comment	голова
28060	28057	erykov1234	1	comment	голова
28060	28058	georg_lonsh	3	comment	голова
28039	28030	georg_lonsh	2	comment	голова
28039	28042	georg_lonsh	4	comment	голова
28039	28040	raskolrus	2	comment	голова
28039	28038	georg_lonsh	4	comment	голова
28039	28051	georg_lonsh	4	comment	голова
28053	28057	georg_lonsh	2	comment	голова
28053	28033	erykov1234	2	comment	голова
28053	28058	georg_lonsh	3	comment	голова
28053	28048	raskolrus	2	comment	голова
28053	28046	erykov1234	2	comment	голова
28053	28040	georg_lonsh	3	comment	голова
28056	28032	erykov1234	2	comment	голова
28056	28037	erykov1234	0	comment	голова
28056	28033	georg_lonsh	4	comment	голова
28056	28049	raskolrus	4	comment	голова
28037	28035	erykov1234	0	comment	голова
28037	28057	raskolrus	2	comment	голова
28037	28030	georg_lonsh	2	comment	голова
28037	28045	georg_lonsh	4	comment	голова
28037	28042	raskolrus	4	comment	голова
28037	28038	georg_lonsh	4	comment	голова
28038	28053	georg_lonsh	3	comment	голова
28038	28042	raskolrus	4	comment	голова
28038	28033	raskolrus	4	comment	голова
28038	28064	erykov1234	1	comment	голова
28038	28050	erykov1234	2	comment	голова
28047	28053	georg_lonsh	3	comment	голова
28047	28044	erykov1234	4	comment	голова
28047	28061	erykov1234	3	comment	голова
28047	28030	raskolrus	2	comment	голова
28047	28038	georg_lonsh	4	comment	голова
28047	28052	georg_lonsh	3	comment	голова
28034	28044	raskolrus	2	comment	голова
28034	28032	georg_lonsh	4	comment	голова
28034	28037	erykov1234	1	comment	голова
28059	28040	raskolrus	2	comment	голова
28059	28030	erykov1234	1	comment	голова
28059	28044	raskolrus	4	comment	голова
28059	28038	georg_lonsh	4	comment	голова
28059	28037	georg_lonsh	4	comment	голова
28059	28050	erykov1234	0	comment	голова
28059	28053	erykov1234	2	comment	голова
28059	28035	raskolrus	2	comment	голова
28054	28048	georg_lonsh	4	comment	голова
28054	28053	georg_lonsh	3	comment	голова
28054	28056	erykov1234	4	comment	голова
28054	28061	georg_lonsh	4	comment	голова
28054	28047	raskolrus	4	comment	голова
28054	28044	georg_lonsh	4	comment	голова
28054	28039	erykov1234	4	comment	голова
28054	28062	georg_lonsh	4	comment	голова
28054	28061	erykov1234	0	comment	голова
28031	28043	raskolrus	4	comment	голова
28031	28053	raskolrus	4	comment	голова
28031	28033	erykov1234	2	comment	голова
28031	28050	georg_lonsh	4	comment	голова
28031	28057	georg_lonsh	2	comment	голова
28031	28041	erykov1234	3	comment	голова
28031	28054	raskolrus	2	comment	голова
28031	28049	georg_lonsh	3	comment	голова
28052	28048	raskolrus	2	comment	голова
28052	28050	georg_lonsh	3	comment	голова
28052	28058	erykov1234	2	comment	голова
28052	28049	raskolrus	2	comment	голова
28052	28034	erykov1234	3	comment	голова
28052	28039	erykov1234	2	comment	голова
28052	28031	erykov1234	3	comment	голова
28050	28041	erykov1234	1	comment	голова
28050	28047	georg_lonsh	3	comment	голова
28050	28063	raskolrus	3	comment	голова
28050	28040	georg_lonsh	3	comment	голова
28050	28034	raskolrus	4	comment	голова
28050	28038	georg_lonsh	3	comment	голова
28050	28030	erykov1234	1	comment	голова
28035	28047	erykov1234	1	comment	голова
28035	28060	georg_lonsh	3	comment	голова
28035	28044	raskolrus	2	comment	голова
28035	28031	raskolrus	4	comment	голова
28035	28063	erykov1234	1	comment	голова
28035	28057	georg_lonsh	2	comment	голова
28035	28061	georg_lonsh	3	comment	голова
28035	28039	raskolrus	2	comment	голова
28055	28048	erykov1234	2	comment	голова
28055	28056	erykov1234	1	comment	голова
28055	28037	georg_lonsh	3	comment	голова
28055	28031	raskolrus	4	comment	голова
28055	28059	georg_lonsh	3	comment	голова
28041	28042	erykov1234	4	comment	голова
28041	28036	georg_lonsh	4	comment	голова
28041	28034	raskolrus	2	comment	голова
28041	28062	erykov1234	4	comment	голова
28057	28038	erykov1234	1	comment	голова
28057	28033	raskolrus	2	comment	голова
28057	28059	erykov1234	1	comment	голова
28057	28051	georg_lonsh	2	comment	голова
28057	28032	georg_lonsh	2	comment	голова
28057	28038	georg_lonsh	2	comment	голова
28063	28030	erykov1234	1	comment	голова
28063	28046	erykov1234	3	comment	голова
28063	28037	erykov1234	4	comment	голова
28063	28037	georg_lonsh	4	comment	голова
28033	28064	erykov1234	1	comment	голова
28033	28045	raskolrus	4	comment	голова
28033	28049	erykov1234	4	comment	голова
28033	28045	erykov1234	4	comment	голова
28033	28042	erykov1234	4	comment	голова
28033	28051	erykov1234	3	comment	голова
28033	28059	raskolrus	4	comment	голова
