lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
город	NN	example	22	22_город_437		Главный офис компании находится в г. Новый Уренгой(Ямало-Ненецкий автономный округ).	34:35	0:84	27832	sem_cluster	ru	ek.gavrishina
город	NN	example	22	22_город_125061		В Ровиго(северная Италия) этой весной наблюдается небывалая масса ужей; так, начальник этого города за один вечер убил 108 этих пресмыкающихся, забравшихся в его дом.	93:99	0:166	27844	sem_cluster	ru	ek.gavrishina
город	NN	example	22	22_город_51275		В каталогах исторических садов, парков и зеленых площадей города магические названия-- Королевский сад с парадной площадью XV века, парк у Философской дамбы, площадь Бисмарка.	58:64	0:175	27852	sem_cluster	ru	ek.gavrishina
город	NN	example	22	22_город_203933		Отъехавши от Васютинского яму и деревни двадцать-семь верст, в седьмом часу по полудни остановясь в Прилуцком второклассном, расстоянием от города Вологды в четырех верстах, мужеском монастыре, в кельях тамошнего казначея иеромонаха Никона ночевали.	140:146	0:249	27846	sem_cluster	ru	ek.gavrishina
город	NN	example	22	22_город_116989		Мы остановились в восьми верстах от города в имении барона Штейнгеля.	36:42	0:69	27821	sem_cluster	ru	ek.gavrishina
город	NN	example	22	22_город_179036		Находясь уже подлѣ самаго города, увидѣли мы и хорошенькую, но небольшую православную церковь съ ея зелеными куполами; намъ указали и на развалины замка, на обсерваторію.	26:32	0:170	27848	sem_cluster	ru	ek.gavrishina
город	NN	example	22	22_город_66169		На самом деле царь намеревался строить«регулярный» город только на одном острове.	51:56	0:81	27838	sem_cluster	ru	ek.gavrishina
город	NN	example	22	22_город_90060		Группа«Аквариум» выложила свой новый альбом с многообещающим названием«Архангельск»(любит Борис Борисович звучные русские города) для скачивания на kroogi.ru, а скоро выйдет и компакт-диск.	122:128	0:189	27845	sem_cluster	ru	ek.gavrishina
город	NN	example	22	22_город_66791		Попробуем разобраться в этом на материалах долгого и внимательного исследования социальной и политической жизни малого города, представленных в докладе сотрудника Левада-центра Алексея Левинсона.	119:125	0:195	27835	sem_cluster	ru	ek.gavrishina
город	NN	example	22	22_город_136162		Весь город знал, что Елена Александровна постоять за себя сумеет и что с нею нужно держать ухо востро.	5:10	0:102	27822	sem_cluster	ru	ek.gavrishina
город	NN	example	22	22_город_110221		Досужие описатели связывают с легендами названия всех озер, городов и рек Средней Азии.	60:67	0:87	27837	sem_cluster	ru	ek.gavrishina
город	NN	example	22	22_город_105083		В городе из нашего молодого кружка был только Фроим.	2:8	0:52	27854	sem_cluster	ru	ek.gavrishina
город	NN	example	22	22_город_177417		Со всѣхъ сторонъ открываются виды на городъ, на широкое озеро, на близкіе и далекіе его берега.	37:43	0:95	27828	sem_cluster	ru	ek.gavrishina
город	NN	example	22	22_город_159056		Мы чуть не ахали от восхищения, когда она прочла вслух, как Наполеон бежал, гонимый призраком пылающей столицы, и потом,-- как контраст мрачному прошедшему,-- заключение, где царица русских городов, возрожденная из пепла, являлась в венце из алмазов и жемчуга...	190:197	0:262	27833	sem_cluster	ru	ek.gavrishina
город	NN	example	22	22_город_93924		Не случайно, что именно вскоре после окончания этой войны в сообщениях властей пограничных русских городов появляется термин«хохлач» для обозначения украинских жителей Речи Посполитой.	99:106	0:184	27824	sem_cluster	ru	ek.gavrishina
город	NN	example	22	22_город_192985		У Гоголя, например, жизнь, как он сам выражается, действительно_щеголяет_по-будничному; она тем сильнее и жалче, чем сильнее щеголяет собою; у г.	2:8	0:145	27842	sem_cluster	ru	ek.gavrishina
город	NN	example	22	22_город_112906		Для римлянина, являющегося прежде всего гражданином своего великого города, общественные нормы поведения возвышаются над ним, но их содержание все же не противостоит ему, поскольку он сам осознает себя и выступает как представитель римской государственности.	68:74	0:258	27831	sem_cluster	ru	ek.gavrishina
город	NN	example	22	22_город_19137		«Минеральные» менты, к которым Олег отправился наутро, тоже смотрели«Я жду» и помочь взялись охотно… да не смогли: оказалось, что Константин Рейн в городе прописан никогда не был.	148:154	0:179	27850	sem_cluster	ru	ek.gavrishina
город	NN	example	22	22_город_35644		Да и просто так было бы интересно посмотреть этот город, когда-то-- один из центров идишистской культуры.	50:55	0:105	27849	sem_cluster	ru	ek.gavrishina
город	NN	example	22	22_город_89764		Корреспонденты«РР», побывавшие в наполовину разрушенном волной городе Исиномаки с разницей в год, увидели немного изменений в его облике.	63:69	0:137	27843	sem_cluster	ru	ek.gavrishina
город	NN	example	22	22_город_142461		Что зорили городы, это только силу ему нашу кажет, устрашит:«Не приму-де казаков, разорят Персиду».	11:17	0:99	27847	sem_cluster	ru	ek.gavrishina
город	NN	example	22	22_город_167450		Кто не видел домов князя Вяземского, находящихся в центре города, на Фонтанке и на Обуховском проспекте, тот изумится крайне плохому состоянию их в санитарном отношении, прочитав напечатанный в№ 64, 65 и 66«Ведомостей С.-Петербургской городской полиции» за 1871 г. отчет о заседании столичного мирового суда по делу о нарушении санитарных правил домовладельцем князем Вяземским.	58:64	0:378	27826	sem_cluster	ru	ek.gavrishina
город	NN	example	22	22_город_174137		Да и в городе меня, пожалуй, люди осудят.	7:13	0:41	27830	sem_cluster	ru	ek.gavrishina
город	NN	example	22	22_город_171137		После обеда пришел барон Криднер, и я же повел его показывать ему город и окрестности.	66:71	0:86	27853	sem_cluster	ru	ek.gavrishina
город	NN	example	22	22_город_187995		Въ день 10-го апрѣля 1854 г., въ Одессѣ, среди города, можно было умереть голодною смертью тому, кто не довольствовался изъ котла въ какой нибудь ротѣ или не имѣлъ своего хозяйства; гостинницы и лавки были закрыты, единственная баба, продававшая крашеныя яйца, была убита бомбою, вмѣстѣ съ мужикомъ, торговавшимъ у ней яйца.	47:53	0:324	27839	sem_cluster	ru	ek.gavrishina
город	NN	example	22	22_город_104368		Познакомившись хорошо с Лхасой, могу признаться тебе, Фома, что этот город, где люди местные и приезжие, вроде наших богомольцев, занимаются только тем, что поют и бормочут молитвы, а другие этих бездельников кормят и поят, мне не понравился, и я бы рад был уехать, да вот надежда найти и вернуть сына держит меня еще здесь.	69:74	0:324	27840	sem_cluster	ru	ek.gavrishina
город	NN	example	22	22_город_78910		Здесь будут жилища и пастбища, Город будет находиться посередине.	31:36	0:65	27825	sem_cluster	ru	ek.gavrishina
город	NN	example	22	22_город_210519		Есть человека два-три в городе, с ними он разговаривает, а больше не с кем; ну, он и молчит.	24:30	0:92	27827	sem_cluster	ru	ek.gavrishina
город	NN	example	22	22_город_76152		Когда-то в этом районе находился античный город Фея, и, судя по остаткам зданий, море поглотило его сразу, после сильного землетрясения.	42:47	0:136	27836	sem_cluster	ru	ek.gavrishina
