lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
государство	NN	example	22	22_государство_23585		а) заявление о выдаче разрешения на трансграничное перемещение отходов с указанием наименования отхода согласно федеральному классификационному каталогу отходов, его количества, кода Товарной номенклатуры внешнеэкономической деятельности Российской Федерации(далее-- ТН ВЭД России) и перечень заинтересованных государств, участвующих в трансграничном перемещении отходов;	310:320	0:371	28243	sem_cluster	ru	ek.gavrishina
государство	NN	example	22	22_государство_16800		Руководители двух государств согласились и далее расширять сотрудничество в области образования и подготовки кадров.	18:28	0:116	28262	sem_cluster	ru	ek.gavrishina
государство	NN	example	22	22_государство_32282		Как тут быть-- гражданин должен доказать незаконность акта государства или государство должно доказать законность своего акта в споре?	75:86	0:134	28248	sem_cluster	ru	ek.gavrishina
государство	NN	example	22	22_государство_15390		Подобное согласие следует рассматривать в качестве отказа от судебного иммунитета иностранного государства или международной организации.	95:106	0:137	28240	sem_cluster	ru	ek.gavrishina
государство	NN	example	22	22_государство_40385		И снижение активности государства на этом поприще-- действительно огромная для него потеря.	22:33	0:91	28247	sem_cluster	ru	ek.gavrishina
государство	NN	example	22	22_государство_13899		Ведь опытно-конструкторские работы по созданию новой, более производительной противопожарной техники и оборудования невозможны без поддержки государства.	141:152	0:153	28265	sem_cluster	ru	ek.gavrishina
государство	NN	example	22	22_государство_7039		В свете сказанного заслуживает внимания следующая запись из дневника Михаила Пришвина, хотя в ней речь идет не о внутрицерковной борьбе, а о противостоянии государства и Церкви, но дух русского«раскола» в ней выражен очень точно:«Наши большевики в зеркале прошлого средневековья похожи на иконоборцев(сектантов-рационалистов), а наши церковники-- на средневековых иконодулов(монахов).	156:167	0:384	28257	sem_cluster	ru	ek.gavrishina
государство	NN	example	22	22_государство_67126		Наконец Дума решила:_«Быть избранию на царство общим согласием всех чинов Московского государства людей».	86:97	0:105	28272	sem_cluster	ru	ek.gavrishina
государство	NN	example	22	22_государство_16451		Вопрос: Каким вопросам на встрече министров иностранных дел государств-- членов ПСП будет отдан приоритет?	60:70	0:106	28261	sem_cluster	ru	ek.gavrishina
государство	NN	example	22	22_государство_58012		Патриарх московский и всероссийский считался после царя«начальным» человеком во всем государстве.	85:96	0:97	28260	sem_cluster	ru	ek.gavrishina
государство	NN	example	22	22_государство_62970		В Германии нет уже государственной церкви, однако главе государственной власти принадлежит верховенство(Kirchenhoheit) в церкви евангелической, и государству в парламенте и во всех делах общественных приходится считаться с партиями того или иного вероисповедания.	146:157	0:263	28245	sem_cluster	ru	ek.gavrishina
государство	NN	example	22	22_государство_3278		Не слышно было, чтобы их сдавали государству, как положено.	33:44	0:59	28241	sem_cluster	ru	ek.gavrishina
