identifier1	identifier2	annotator	judgment	comment	lemma
28385	28401	georg_lonsh	4	comment	дело
28385	28398	raskolrus	2	comment	дело
28385	28392	raskolrus	3	comment	дело
28385	28389	raskolrus	4	comment	дело
28385	28386	erykov1234	2	comment	дело
28385	28393	raskolrus	3	comment	дело
28385	28410	erykov1234	2	comment	дело
28385	28381	raskolrus	2	comment	дело
28385	28393	erykov1234	1	comment	дело
28385	28382	erykov1234	3	comment	дело
28385	28413	erykov1234	1	comment	дело
28385	28408	erykov1234	2	comment	дело
28385	28398	erykov1234	1	comment	дело
28385	28403	erykov1234	1	comment	дело
28385	28407	raskolrus	0	comment	дело
28385	28387	erykov1234	3	comment	дело
28385	28409	erykov1234	1	comment	дело
28385	28402	erykov1234	1	comment	дело
28385	28414	erykov1234	3	comment	дело
28385	28389	erykov1234	1	comment	дело
28385	28390	erykov1234	1	comment	дело
28385	28381	erykov1234	1	comment	дело
28385	28401	erykov1234	2	comment	дело
28385	28391	erykov1234	3	comment	дело
28385	28406	erykov1234	1	comment	дело
28384	28381	erykov1234	1	comment	дело
28384	28389	erykov1234	1	comment	дело
28384	28385	erykov1234	3	comment	дело
28384	28403	georg_lonsh	3	comment	дело
28384	28385	raskolrus	3	comment	дело
28384	28398	raskolrus	0	comment	дело
28384	28398	erykov1234	1	comment	дело
28384	28382	erykov1234	3	comment	дело
28384	28409	erykov1234	2	comment	дело
28384	28410	erykov1234	3	comment	дело
28384	28412	erykov1234	1	comment	дело
28384	28396	erykov1234	1	comment	дело
28384	28408	raskolrus	4	comment	дело
28384	28399	erykov1234	3	comment	дело
28384	28403	erykov1234	1	comment	дело
28384	28382	raskolrus	0	comment	дело
28384	28397	raskolrus	0	comment	дело
28384	28400	raskolrus	2	comment	дело
28384	28394	erykov1234	2	comment	дело
28384	28407	erykov1234	1	comment	дело
28384	28401	erykov1234	0	comment	дело
28384	28390	erykov1234	3	comment	дело
28384	28386	raskolrus	3	comment	дело
28384	28408	erykov1234	2	comment	дело
28384	28395	erykov1234	0	comment	дело
28384	28413	erykov1234	3	comment	дело
28384	28397	erykov1234	3	comment	дело
28384	28405	erykov1234	0	comment	дело
28384	28387	georg_lonsh	3	comment	дело
28395	28387	georg_lonsh	4	comment	дело
28395	28394	erykov1234	0	comment	дело
28395	28391	erykov1234	1	comment	дело
28395	28410	raskolrus	2	comment	дело
28395	28406	raskolrus	3	comment	дело
28395	28381	erykov1234	3	comment	дело
28395	28408	erykov1234	2	comment	дело
28395	28386	erykov1234	3	comment	дело
28395	28404	raskolrus	2	comment	дело
28395	28409	erykov1234	2	comment	дело
28395	28388	erykov1234	2	comment	дело
28395	28405	erykov1234	1	comment	дело
28395	28399	erykov1234	3	comment	дело
28395	28392	erykov1234	1	comment	дело
28395	28409	raskolrus	3	comment	дело
28395	28385	erykov1234	1	comment	дело
28395	28396	erykov1234	1	comment	дело
28395	28414	raskolrus	3	comment	дело
28395	28403	raskolrus	0	comment	дело
28395	28394	raskolrus	3	comment	дело
28395	28398	raskolrus	0	comment	дело
28388	28387	erykov1234	3	comment	дело
28388	28384	raskolrus	0	comment	дело
28388	28414	erykov1234	2	comment	дело
28388	28408	erykov1234	2	comment	дело
28388	28394	raskolrus	3	comment	дело
28388	28387	raskolrus	3	comment	дело
28388	28394	erykov1234	2	comment	дело
28388	28398	erykov1234	1	comment	дело
28388	28406	erykov1234	1	comment	дело
28388	28381	erykov1234	1	comment	дело
28388	28412	raskolrus	0	comment	дело
28388	28409	erykov1234	1	comment	дело
28388	28386	erykov1234	3	comment	дело
28388	28391	raskolrus	3	comment	дело
28388	28410	erykov1234	2	comment	дело
28388	28384	erykov1234	1	comment	дело
28388	28412	erykov1234	1	comment	дело
28388	28396	erykov1234	1	comment	дело
28388	28391	erykov1234	0	comment	дело
28388	28411	erykov1234	2	comment	дело
28388	28390	erykov1234	1	comment	дело
28388	28393	erykov1234	1	comment	дело
28388	28400	erykov1234	2	comment	дело
28388	28389	georg_lonsh	4	comment	дело
28388	28385	erykov1234	2	comment	дело
28388	28385	raskolrus	0	comment	дело
28383	28386	erykov1234	2	comment	дело
28383	28390	erykov1234	0	comment	дело
28383	28391	erykov1234	0	comment	дело
28383	28403	raskolrus	2	comment	дело
28383	28413	raskolrus	0	comment	дело
28383	28412	erykov1234	1	comment	дело
28383	28407	raskolrus	2	comment	дело
28383	28408	raskolrus	2	comment	дело
28383	28384	erykov1234	2	comment	дело
28383	28393	erykov1234	1	comment	дело
28383	28411	erykov1234	0	comment	дело
28383	28397	erykov1234	2	comment	дело
28383	28398	erykov1234	0	comment	дело
28383	28405	erykov1234	0	comment	дело
28383	28405	raskolrus	0	comment	дело
28383	28392	erykov1234	2	comment	дело
28383	28385	erykov1234	2	comment	дело
28383	28388	erykov1234	0	comment	дело
28383	28389	erykov1234	1	comment	дело
28383	28395	erykov1234	0	comment	дело
28383	28387	erykov1234	3	comment	дело
28383	28396	georg_lonsh	3	comment	дело
28411	28387	erykov1234	3	comment	дело
28411	28402	erykov1234	1	comment	дело
28411	28404	erykov1234	0	comment	дело
28411	28394	erykov1234	2	comment	дело
28411	28402	raskolrus	2	comment	дело
28411	28385	erykov1234	3	comment	дело
28411	28381	georg_lonsh	3	comment	дело
28411	28395	erykov1234	2	comment	дело
28411	28414	erykov1234	2	comment	дело
28411	28386	erykov1234	2	comment	дело
28411	28388	raskolrus	4	comment	дело
28411	28406	erykov1234	1	comment	дело
28411	28398	erykov1234	1	comment	дело
28411	28403	erykov1234	1	comment	дело
28411	28384	erykov1234	2	comment	дело
28411	28380	raskolrus	0	comment	дело
28411	28399	erykov1234	3	comment	дело
28411	28386	raskolrus	0	comment	дело
28411	28408	erykov1234	1	comment	дело
28411	28394	raskolrus	3	comment	дело
28411	28405	raskolrus	3	comment	дело
28411	28383	raskolrus	0	comment	дело
28411	28380	erykov1234	1	comment	дело
28411	28390	erykov1234	3	comment	дело
28411	28409	erykov1234	2	comment	дело
28411	28387	raskolrus	0	comment	дело
28411	28393	erykov1234	1	comment	дело
28411	28382	erykov1234	2	comment	дело
28411	28401	erykov1234	2	comment	дело
28411	28413	erykov1234	2	comment	дело
28411	28398	raskolrus	2	comment	дело
28411	28412	erykov1234	1	comment	дело
28411	28396	erykov1234	0	comment	дело
28411	28410	erykov1234	3	comment	дело
28411	28389	erykov1234	1	comment	дело
28411	28400	erykov1234	2	comment	дело
28396	28410	erykov1234	1	comment	дело
28396	28409	raskolrus	2	comment	дело
28396	28389	raskolrus	0	comment	дело
28396	28394	erykov1234	2	comment	дело
28396	28398	erykov1234	3	comment	дело
28396	28389	erykov1234	4	comment	дело
28396	28381	erykov1234	1	comment	дело
28396	28380	erykov1234	4	comment	дело
28396	28381	raskolrus	2	comment	дело
28396	28391	erykov1234	2	comment	дело
28396	28383	raskolrus	0	comment	дело
28396	28382	erykov1234	1	comment	дело
28396	28393	raskolrus	0	comment	дело
28396	28407	erykov1234	4	comment	дело
28396	28387	erykov1234	1	comment	дело
28396	28404	raskolrus	2	comment	дело
28396	28383	erykov1234	1	comment	дело
28396	28402	erykov1234	1	comment	дело
28396	28412	raskolrus	0	comment	дело
28396	28408	georg_lonsh	3	comment	дело
