identifier1	identifier2	annotator	judgment	comment	lemma
27582	27590	georg_lonsh	0	comment	день
27582	27584	georg_lonsh	4	comment	день
27582	27584	erykov1234	0	comment	день
27582	27601	erykov1234	2	comment	день
27582	27597	georg_lonsh	4	comment	день
27582	27577	erykov1234	3	comment	день
27582	27598	erykov1234	3	comment	день
27582	27599	raskolrus	2	comment	день
27582	27593	georg_lonsh	4	comment	день
27582	27585	georg_lonsh	4	comment	день
27582	27577	georg_lonsh	3	comment	день
27582	27600	erykov1234	0	comment	день
27582	27600	raskolrus	0	comment	день
27605	27609	erykov1234	3	comment	день
27605	27584	georg_lonsh	4	comment	день
27605	27593	georg_lonsh	0	comment	день
27605	27603	raskolrus	3	comment	день
27605	27606	georg_lonsh	0	comment	день
27605	27607	erykov1234	3	comment	день
27577	27603	raskolrus	2	comment	день
27577	27602	erykov1234	3	comment	день
27577	27597	erykov1234	4	comment	день
27577	27575	raskolrus	3	comment	день
27577	27584	raskolrus	2	comment	день
27577	27597	raskolrus	2	comment	день
27577	27606	georg_lonsh	3	comment	день
27577	27604	georg_lonsh	0	comment	день
27577	27594	erykov1234	0	comment	день
27577	27591	georg_lonsh	3	comment	день
27577	27598	georg_lonsh	4	comment	день
27596	27587	raskolrus	2	comment	день
27596	27589	georg_lonsh	3	comment	день
27596	27595	raskolrus	3	comment	день
27596	27592	raskolrus	4	comment	день
27596	27593	georg_lonsh	4	comment	день
27596	27592	erykov1234	4	comment	день
27583	27602	erykov1234	2	comment	день
27583	27590	georg_lonsh	3	comment	день
27583	27596	georg_lonsh	4	comment	день
27583	27578	erykov1234	4	comment	день
27583	27580	georg_lonsh	4	comment	день
27583	27606	erykov1234	3	comment	день
27583	27606	georg_lonsh	4	comment	день
27583	27602	raskolrus	3	comment	день
27583	27592	georg_lonsh	0	comment	день
27598	27586	erykov1234	1	comment	день
27598	27589	erykov1234	3	comment	день
27598	27596	erykov1234	3	comment	день
27598	27592	raskolrus	4	comment	день
27598	27605	georg_lonsh	4	comment	день
27598	27603	raskolrus	3	comment	день
27598	27576	raskolrus	0	comment	день
27578	27605	georg_lonsh	0	comment	день
27578	27589	raskolrus	2	comment	день
27578	27608	georg_lonsh	3	comment	день
27578	27609	raskolrus	2	comment	день
27578	27598	erykov1234	4	comment	день
27578	27583	raskolrus	2	comment	день
27578	27577	georg_lonsh	4	comment	день
27578	27601	georg_lonsh	2	comment	день
27578	27576	georg_lonsh	3	comment	день
27597	27607	raskolrus	3	comment	день
27597	27579	erykov1234	3	comment	день
27597	27582	erykov1234	3	comment	день
27604	27598	georg_lonsh	0	comment	день
27604	27598	erykov1234	3	comment	день
27604	27583	raskolrus	3	comment	день
27604	27592	erykov1234	3	comment	день
27604	27605	raskolrus	0	comment	день
27604	27609	raskolrus	3	comment	день
27587	27576	georg_lonsh	2	comment	день
27587	27607	erykov1234	2	comment	день
27587	27606	raskolrus	3	comment	день
27587	27589	raskolrus	3	comment	день
27587	27576	erykov1234	2	comment	день
27587	27586	erykov1234	1	comment	день
27587	27606	erykov1234	2	comment	день
27587	27579	erykov1234	4	comment	день
27587	27585	erykov1234	2	comment	день
27587	27604	raskolrus	2	comment	день
27587	27580	raskolrus	2	comment	день
27591	27576	erykov1234	2	comment	день
27591	27578	georg_lonsh	3	comment	день
27591	27593	erykov1234	0	comment	день
27591	27598	georg_lonsh	0	comment	день
27591	27603	georg_lonsh	4	comment	день
27591	27607	erykov1234	3	comment	день
27591	27582	erykov1234	2	comment	день
27591	27584	erykov1234	4	comment	день
27591	27608	georg_lonsh	4	comment	день
27591	27607	georg_lonsh	3	comment	день
27591	27596	raskolrus	3	comment	день
27609	27593	georg_lonsh	4	comment	день
27609	27607	raskolrus	2	comment	день
27609	27580	raskolrus	4	comment	день
27609	27594	erykov1234	1	comment	день
27609	27586	erykov1234	1	comment	день
27609	27597	erykov1234	2	comment	день
27609	27596	raskolrus	2	comment	день
27609	27588	raskolrus	3	comment	день
27609	27586	georg_lonsh	3	comment	день
27609	27597	raskolrus	3	comment	день
27609	27608	erykov1234	4	comment	день
27575	27588	raskolrus	4	comment	день
27575	27577	georg_lonsh	2	comment	день
27575	27605	georg_lonsh	0	comment	день
27575	27600	georg_lonsh	0	comment	день
27575	27606	raskolrus	3	comment	день
27575	27593	erykov1234	3	comment	день
27575	27584	georg_lonsh	3	comment	день
27575	27597	erykov1234	3	comment	день
27575	27605	raskolrus	0	comment	день
27575	27602	erykov1234	2	comment	день
27575	27593	georg_lonsh	3	comment	день
27590	27596	erykov1234	4	comment	день
27590	27578	georg_lonsh	3	comment	день
27590	27587	raskolrus	2	comment	день
27590	27594	raskolrus	2	comment	день
27590	27597	erykov1234	1	comment	день
27590	27592	erykov1234	2	comment	день
27608	27581	georg_lonsh	3	comment	день
27608	27576	raskolrus	2	comment	день
27608	27579	raskolrus	4	comment	день
27608	27582	raskolrus	3	comment	день
27608	27598	georg_lonsh	4	comment	день
27603	27600	georg_lonsh	1	comment	день
27603	27593	georg_lonsh	4	comment	день
27603	27592	erykov1234	3	comment	день
27603	27582	erykov1234	4	comment	день
27603	27601	georg_lonsh	2	comment	день
27603	27581	raskolrus	2	comment	день
27603	27595	raskolrus	2	comment	день
27603	27609	georg_lonsh	0	comment	день
27603	27592	georg_lonsh	4	comment	день
27579	27603	georg_lonsh	4	comment	день
27579	27586	raskolrus	2	comment	день
27579	27582	erykov1234	3	comment	день
27579	27580	georg_lonsh	0	comment	день
27579	27583	erykov1234	3	comment	день
27579	27603	erykov1234	3	comment	день
27579	27599	georg_lonsh	3	comment	день
27579	27584	raskolrus	4	comment	день
27579	27590	raskolrus	2	comment	день
27595	27608	raskolrus	2	comment	день
27595	27579	raskolrus	3	comment	день
27595	27589	georg_lonsh	3	comment	день
27595	27602	georg_lonsh	3	comment	день
27595	27599	raskolrus	2	comment	день
27595	27605	georg_lonsh	0	comment	день
27595	27597	erykov1234	2	comment	день
27595	27609	erykov1234	2	comment	день
27595	27587	raskolrus	3	comment	день
27595	27576	georg_lonsh	3	comment	день
27581	27592	erykov1234	2	comment	день
27581	27597	raskolrus	2	comment	день
27581	27599	georg_lonsh	3	comment	день
27581	27600	raskolrus	0	comment	день
27581	27596	erykov1234	1	comment	день
27581	27577	raskolrus	2	comment	день
27593	27576	erykov1234	2	comment	день
27593	27584	erykov1234	3	comment	день
27593	27601	georg_lonsh	3	comment	день
27593	27607	raskolrus	2	comment	день
27593	27588	raskolrus	3	comment	день
27600	27597	georg_lonsh	0	comment	день
27600	27606	raskolrus	0	comment	день
27600	27581	erykov1234	0	comment	день
27600	27575	erykov1234	0	comment	день
27600	27607	georg_lonsh	0	comment	день
27600	27590	georg_lonsh	0	comment	день
27600	27607	erykov1234	0	comment	день
27600	27590	raskolrus	0	comment	день
27600	27604	raskolrus	0	comment	день
27599	27600	georg_lonsh	1	comment	день
27599	27581	raskolrus	2	comment	день
27599	27596	erykov1234	2	comment	день
27599	27605	erykov1234	3	comment	день
27599	27603	raskolrus	2	comment	день
27599	27584	raskolrus	2	comment	день
27599	27591	georg_lonsh	4	comment	день
27580	27609	georg_lonsh	4	comment	день
27580	27606	raskolrus	3	comment	день
27580	27585	erykov1234	3	comment	день
27580	27594	raskolrus	3	comment	день
27580	27584	raskolrus	3	comment	день
27607	27583	georg_lonsh	4	comment	день
27607	27586	georg_lonsh	3	comment	день
27607	27594	raskolrus	2	comment	день
27607	27577	erykov1234	3	comment	день
27607	27577	raskolrus	2	comment	день
27607	27591	raskolrus	3	comment	день
27607	27594	georg_lonsh	2	comment	день
27607	27592	georg_lonsh	3	comment	день
27607	27602	georg_lonsh	4	comment	день
27586	27584	georg_lonsh	3	comment	день
27586	27578	raskolrus	2	comment	день
27586	27609	raskolrus	3	comment	день
27586	27590	raskolrus	0	comment	день
27586	27605	erykov1234	1	comment	день
27586	27597	georg_lonsh	3	comment	день
27586	27602	raskolrus	2	comment	день
27586	27580	georg_lonsh	0	comment	день
27586	27584	raskolrus	2	comment	день
27586	27582	georg_lonsh	3	comment	день
27586	27608	raskolrus	2	comment	день
27586	27578	georg_lonsh	3	comment	день
27586	27594	georg_lonsh	2	comment	день
27586	27578	erykov1234	1	comment	день
27584	27596	georg_lonsh	4	comment	день
27584	27591	georg_lonsh	4	comment	день
27584	27587	erykov1234	3	comment	день
27584	27606	erykov1234	3	comment	день
27584	27575	erykov1234	3	comment	день
27584	27594	erykov1234	4	comment	день
27584	27608	raskolrus	4	comment	день
27585	27593	georg_lonsh	4	comment	день
27585	27581	georg_lonsh	3	comment	день
27585	27608	erykov1234	4	comment	день
27585	27606	erykov1234	3	comment	день
27585	27594	erykov1234	4	comment	день
27585	27596	georg_lonsh	4	comment	день
27585	27591	georg_lonsh	4	comment	день
27585	27604	georg_lonsh	0	comment	день
27601	27593	raskolrus	3	comment	день
27601	27577	erykov1234	2	comment	день
27601	27581	erykov1234	1	comment	день
27601	27588	raskolrus	2	comment	день
27601	27603	raskolrus	2	comment	день
27601	27607	raskolrus	2	comment	день
27601	27608	georg_lonsh	2	comment	день
27601	27609	erykov1234	1	comment	день
27601	27599	georg_lonsh	2	comment	день
27588	27598	raskolrus	4	comment	день
27588	27579	raskolrus	3	comment	день
27588	27596	erykov1234	3	comment	день
27588	27595	erykov1234	2	comment	день
27588	27599	raskolrus	2	comment	день
27588	27597	raskolrus	4	comment	день
27588	27592	raskolrus	3	comment	день
27588	27582	raskolrus	4	comment	день
27588	27576	erykov1234	2	comment	день
27588	27576	raskolrus	3	comment	день
27588	27581	raskolrus	3	comment	день
27588	27591	georg_lonsh	4	comment	день
27588	27597	georg_lonsh	3	comment	день
27588	27591	erykov1234	4	comment	день
27589	27605	raskolrus	0	comment	день
27589	27591	erykov1234	3	comment	день
27589	27582	georg_lonsh	3	comment	день
27589	27586	erykov1234	0	comment	день
27589	27609	georg_lonsh	3	comment	день
27589	27575	erykov1234	3	comment	день
27602	27598	erykov1234	3	comment	день
27602	27609	erykov1234	2	comment	день
27602	27582	raskolrus	4	comment	день
27602	27576	georg_lonsh	3	comment	день
27602	27603	georg_lonsh	4	comment	день
27602	27578	raskolrus	2	comment	день
27602	27604	raskolrus	0	comment	день
27602	27595	erykov1234	2	comment	день
27602	27592	georg_lonsh	4	comment	день
27594	27575	georg_lonsh	2	comment	день
27594	27579	erykov1234	3	comment	день
27594	27584	georg_lonsh	2	comment	день
27594	27597	raskolrus	4	comment	день
27594	27581	erykov1234	1	comment	день
27594	27578	erykov1234	2	comment	день
27594	27575	erykov1234	4	comment	день
27594	27579	raskolrus	3	comment	день
27594	27605	erykov1234	4	comment	день
27606	27579	raskolrus	3	comment	день
27606	27590	georg_lonsh	0	comment	день
27606	27581	georg_lonsh	4	comment	день
27606	27582	raskolrus	4	comment	день
27606	27596	erykov1234	3	comment	день
27606	27596	raskolrus	4	comment	день
27606	27601	georg_lonsh	2	comment	день
27606	27607	erykov1234	3	comment	день
27576	27582	erykov1234	2	comment	день
27576	27606	erykov1234	4	comment	день
27576	27603	erykov1234	2	comment	день
27576	27575	georg_lonsh	3	comment	день
27576	27577	georg_lonsh	3	comment	день
27592	27586	georg_lonsh	3	comment	день
27592	27606	georg_lonsh	4	comment	день
27592	27607	raskolrus	2	comment	день
27592	27575	erykov1234	2	comment	день
27592	27598	georg_lonsh	0	comment	день
27592	27599	raskolrus	2	comment	день
27587	27581	erykov1234	1	comment	день
27587	27601	erykov1234	1	comment	день
27590	27581	erykov1234	1	comment	день
27590	27599	erykov1234	1	comment	день
27590	27586	erykov1234	1	comment	день
27590	27601	erykov1234	4	comment	день
27581	27586	erykov1234	4	comment	день
27599	27586	erykov1234	1	comment	день
27586	27601	erykov1234	1	comment	день
27587	27581	raskolrus	2	comment	день
27587	27601	raskolrus	2	comment	день
27590	27581	raskolrus	2	comment	день
27590	27599	raskolrus	2	comment	день
27590	27586	raskolrus	2	comment	день
27590	27601	raskolrus	3	comment	день
27581	27586	raskolrus	4	comment	день
27599	27586	raskolrus	2	comment	день
27586	27601	raskolrus	2	comment	день
