lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
день	NN	example	22	22_день_146448		Я хорошо запомнил то время, когда каждый день военпреды требовали от нас лишь одного-- увеличения выпуска продукции.	41:45	0:116	27582	sem_cluster	ru	ek.gavrishina
день	NN	example	22	22_день_208694		Субботы в редакции были сборными днями; получали гонорар, сдавали и обсуждали всей компанией материал на следующий номер, а постоянный художник и карикатурист редакции Д. Н. Чичагов сидел обыкновенно молча в углу и делал зарисовки.	215:220	0:231	27605	sem_cluster	ru	ek.gavrishina
день	NN	example	22	22_день_240493		В Лондоне на днях происходил один из самых интересных конкурсов-- конкурс толстых людей.	13:17	0:88	27577	sem_cluster	ru	ek.gavrishina
день	NN	example	22	22_день_359380		Я должен понять, должен догадаться, чего хочет от меня эта странная мертвая красавица, которая каждый день ходит ко мне в гости с того света, точно из соседнего имения, о чем молит меня ее скорбный, плачущий взор?..	102:106	0:215	27596	sem_cluster	ru	ek.gavrishina
день	NN	example	22	22_день_376621		-- Что онъ у васъ всегда такимъ пѣтухомъ индѣйскимъ ходить?-- спросилъ на третій же день послѣ поступленія ко мнѣ Огородниковъ у двухъ другихъ пансіонеровъ, указывая на Прибыльскаго.	84:88	0:182	27583	sem_cluster	ru	ek.gavrishina
день	NN	example	22	22_день_405308		Дней пять спустя после возвращения Соломина восвояси на двор фабрики вкатился красивый фаэтончик, запряженный четверней отличных лошадей, и ливрейный бело-гороховый лакей, введенный Павлом во флигель, торжественно вручил Соломину письмо с гербовою печатью от«Его превосходительства Бориса Андреевича Сипягина».	56:60	0:310	27598	sem_cluster	ru	ek.gavrishina
день	NN	example	22	22_день_249672		На днях известным в Ялте старожилом фельдшером Н. Н. Волобуевым оборудована такая ферма на Воронцовской ул. Козы г. Волобуевым выписаны из Бессарабии особой молочной породы.	3:7	0:173	27578	sem_cluster	ru	ek.gavrishina
день	NN	example	22	22_день_324335		Живу среди невообразимой суеты, происходящей у нас вследствие приближающегося дня свадьбы Веры.	78:81	0:95	27597	sem_cluster	ru	ek.gavrishina
день	NN	example	22	22_день_318571		Он был в говорливом настроении и рассказывал о слухах, доходивших до него из достоверных источников, что людей переносили в полночь на спине, в мешках, что приходилось прятаться по нескольку дней в кладовых, прежде чем контрабандисты могли найти возможность переправы.	55:57	0:268	27604	sem_cluster	ru	ek.gavrishina
день	NN	example	22	22_день_323483		Честный человек, со сретеньева дня не разувался...	31:34	0:50	27587	sem_cluster	ru	ek.gavrishina
день	NN	example	22	22_день_157775		В этот день она, печальная и о замужестве своем не думающая, должна была надеть какое-то особенное нарядное платье из красного атласа.	7:11	0:134	27591	sem_cluster	ru	ek.gavrishina
