lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
жизнь	NN	example	22	22_жизнь_136503		И узнал обо всем(ну... в смысле«сомнительном») в первые дни нашей совместной жизни.	77:82	0:83	28141	sem_cluster	ru	ek.gavrishina
жизнь	NN	example	22	22_жизнь_327519		Теперь приступлю к описанию нашей жизни.	34:39	0:40	28160	sem_cluster	ru	ek.gavrishina
жизнь	NN	example	22	22_жизнь_138951		Это особенно актуально, когда страна модернизируется, когда миллионы молодых людей решают для себя: пить водку, как папа пил всю жизнь, идти убивать или учиться...	129:134	0:163	28148	sem_cluster	ru	ek.gavrishina
жизнь	NN	example	22	22_жизнь_177881		Так всегда бывает-- когда жизнь полностью обесценена, начинаешь ее особенно ценить и лелеять.	26:31	0:93	28145	sem_cluster	ru	ek.gavrishina
жизнь	NN	example	22	22_жизнь_91372		Но ведь за новыми словами и жизнь новая.	28:33	0:40	28164	sem_cluster	ru	ek.gavrishina
жизнь	NN	example	22	22_жизнь_175161		Повествование о своей жизни отец Александр довел примерно до 1967 года.	22:27	0:71	28139	sem_cluster	ru	ek.gavrishina
жизнь	NN	example	22	22_жизнь_385036		Их жизнь в заточении постоянно свидетельствует об истине их начал.	3:8	0:66	28136	sem_cluster	ru	ek.gavrishina
жизнь	NN	example	22	22_жизнь_389447		-- Помилуйте, матушка Мавра Кузьмовна,-- взмолился Половников,-- что ж, значит, я перед господином чиновником могу?.. если бы я теперича сказать что-нибудь от себя возможность имел, так и то, значит, меня бы в шею отселе вытолкали, потому как мое дело молчать, а не говорить... рассудите же вы, матушка, за что ж я, не будучи, можно сказать, вашему делу причинен, из-за него свою жизнь терять должон... ведь я, все одно, тамгу свою господину чиновнику оставлю.	380:385	0:460	28152	sem_cluster	ru	ek.gavrishina
жизнь	NN	example	22	22_жизнь_251986		Приобщение к культуре некоторым образом компромисс для духовной жизни.	64:69	0:70	28162	sem_cluster	ru	ek.gavrishina
жизнь	NN	example	22	22_жизнь_6489		Л.Ю. с отцом летала в Париж в ноябре, где они шикарно жили в«Плазе» и вели светский образ жизни.	90:95	0:96	28165	sem_cluster	ru	ek.gavrishina
жизнь	NN	example	22	22_жизнь_65726		-- За древностию лет К свободной жизни их вражда непримирима...	33:38	0:63	28144	sem_cluster	ru	ek.gavrishina
жизнь	NN	example	22	22_жизнь_47733		Так продолжалось довольно долго, затем Шуб поблагодарил собравшихся, попросил по трешке с носа на текущие ветеранские нужды, и мы разошлись, каждый в свою жизнь.	155:160	0:161	28150	sem_cluster	ru	ek.gavrishina
жизнь	NN	example	22	22_жизнь_197866		Ведь каждый может оступиться, под чуждое влияние попасть, я понимаю, жизнь сложна... и искупить ошибку можно, определенно, уж поверьте, только... только одним.	69:74	0:159	28167	sem_cluster	ru	ek.gavrishina
жизнь	NN	example	22	22_жизнь_240891		Матвей Никитич и Аграфена уехали в город продавать поросят, день был базарный и молитвенный стих напал на старика, равно под влиянием мыслей, как о долгой и студной жизни своей на земле, так и о том, что зять один с дочерью, покинув его, погуляют всласть в веселый понедельничный день.	165:170	0:285	28155	sem_cluster	ru	ek.gavrishina
жизнь	NN	example	22	22_жизнь_362711		Наконец, секретарь Villenave-- заключение его похвального слова Ласепеду, и примечательнейшее в жизни, что вы думаете?	96:101	0:118	28138	sem_cluster	ru	ek.gavrishina
жизнь	NN	example	22	22_жизнь_252491		Особенно поразили художника два лика Иоанна Предтечи Крылатого: у одного в левой руке была золотая чаша с Предвечным Младенцем, на Которого указывал он правой рукой:«Се Агнец Божий, вземляй грехи мира»; другой--«с усекновением», вопреки законам природы, имел две головы: одну, живую, на плечах, другую, мертвую, в сосуде, который держал в руках, как бы в знак того, что человек, только умертвив в себе все человеческое, достигает окрыления сверхчеловеческого; лик у обоих был странен и страшен: взор широко открытых глаз похож на взор орла, вперенный в солнце; борода и волосы развевались, как бы от сильного ветра; косматая верблюжья риза напоминала перья птицы; кости исхудалых, непомерно длинных, тонких рук и ног, едва покрытые кожей, казались легкими, преображенными для полета, точно пустыми, полыми внутри, как хрящи и кости пернатых; за плечами два исполинские крыла подобны были крыльям лебедя или той Великой Птицы, о которой всю жизнь мечтал Леонардо.	940:945	0:962	28140	sem_cluster	ru	ek.gavrishina
жизнь	NN	example	22	22_жизнь_206023		В противном случае возникает серьезная угроза церковному единству, что и произошло при введении в богослужебную жизнь Церкви нового календарного стиля.	112:117	0:151	28143	sem_cluster	ru	ek.gavrishina
