identifier1	identifier2	annotator	judgment	comment	lemma
27663	27679	raskolrus	4	comment	место
27663	27659	erykov1234	4	comment	место
27663	27673	georg_lonsh	3	comment	место
27663	27679	erykov1234	3	comment	место
27663	27649	georg_lonsh	2	comment	место
27663	27673	raskolrus	2	comment	место
27663	27676	georg_lonsh	3	comment	место
27663	27669	georg_lonsh	3	comment	место
27677	27645	raskolrus	2	comment	место
27677	27666	georg_lonsh	3	comment	место
27677	27650	erykov1234	4	comment	место
27677	27658	raskolrus	2	comment	место
27677	27663	georg_lonsh	4	comment	место
27677	27666	erykov1234	2	comment	место
27678	27667	georg_lonsh	4	comment	место
27678	27657	georg_lonsh	2	comment	место
27678	27658	erykov1234	1	comment	место
27678	27673	georg_lonsh	3	comment	место
27678	27677	erykov1234	2	comment	место
27678	27652	erykov1234	0	comment	место
27678	27675	raskolrus	4	comment	место
27678	27679	georg_lonsh	3	comment	место
27678	27674	raskolrus	3	comment	место
27678	27647	erykov1234	0	comment	место
27678	27672	georg_lonsh	4	comment	место
27678	27657	erykov1234	2	comment	место
27678	27679	raskolrus	3	comment	место
27662	27674	georg_lonsh	3	comment	место
27662	27653	raskolrus	4	comment	место
27662	27664	raskolrus	3	comment	место
27662	27660	erykov1234	2	comment	место
27662	27669	georg_lonsh	4	comment	место
27662	27672	raskolrus	4	comment	место
27662	27659	georg_lonsh	4	comment	место
27650	27669	raskolrus	4	comment	место
27650	27652	georg_lonsh	3	comment	место
27650	27675	raskolrus	4	comment	место
27650	27658	raskolrus	2	comment	место
27650	27646	raskolrus	3	comment	место
27657	27661	georg_lonsh	3	comment	место
27657	27661	erykov1234	1	comment	место
27657	27674	georg_lonsh	3	comment	место
27657	27667	georg_lonsh	3	comment	место
27657	27675	raskolrus	3	comment	место
27657	27660	raskolrus	2	comment	место
27647	27652	raskolrus	2	comment	место
27647	27667	erykov1234	3	comment	место
27647	27664	erykov1234	2	comment	место
27647	27667	georg_lonsh	4	comment	место
27647	27669	georg_lonsh	3	comment	место
27647	27664	georg_lonsh	3	comment	место
27647	27656	erykov1234	3	comment	место
27647	27679	erykov1234	2	comment	место
27670	27678	erykov1234	2	comment	место
27670	27647	raskolrus	4	comment	место
27670	27662	erykov1234	2	comment	место
27670	27674	erykov1234	2	comment	место
27673	27657	georg_lonsh	3	comment	место
27673	27657	raskolrus	2	comment	место
27673	27658	raskolrus	2	comment	место
27673	27669	georg_lonsh	3	comment	место
27673	27664	erykov1234	2	comment	место
27673	27678	raskolrus	2	comment	место
27673	27653	erykov1234	2	comment	место
27645	27666	raskolrus	2	comment	место
27645	27668	erykov1234	2	comment	место
27645	27651	erykov1234	4	comment	место
27645	27652	erykov1234	4	comment	место
27645	27646	erykov1234	3	comment	место
27645	27674	georg_lonsh	2	comment	место
27645	27667	georg_lonsh	3	comment	место
27645	27662	raskolrus	3	comment	место
27645	27677	georg_lonsh	3	comment	место
27645	27661	georg_lonsh	3	comment	место
27645	27676	erykov1234	1	comment	место
27652	27669	georg_lonsh	3	comment	место
27652	27671	erykov1234	3	comment	место
27652	27663	raskolrus	2	comment	место
27652	27661	raskolrus	2	comment	место
27652	27654	raskolrus	3	comment	место
27653	27674	raskolrus	2	comment	место
27653	27648	georg_lonsh	3	comment	место
27653	27670	georg_lonsh	3	comment	место
27653	27666	raskolrus	3	comment	место
27653	27672	georg_lonsh	4	comment	место
27653	27677	georg_lonsh	4	comment	место
27653	27670	raskolrus	4	comment	место
27653	27675	georg_lonsh	4	comment	место
27665	27662	erykov1234	2	comment	место
27665	27654	erykov1234	4	comment	место
27665	27666	raskolrus	3	comment	место
27665	27662	raskolrus	3	comment	место
27665	27647	erykov1234	2	comment	место
27665	27678	erykov1234	2	comment	место
27665	27646	georg_lonsh	4	comment	место
27675	27649	erykov1234	2	comment	место
27675	27659	erykov1234	3	comment	место
27675	27656	raskolrus	2	comment	место
27675	27655	erykov1234	2	comment	место
27675	27672	erykov1234	3	comment	место
27675	27649	raskolrus	2	comment	место
27675	27674	erykov1234	0	comment	место
27675	27671	georg_lonsh	4	comment	место
27661	27660	raskolrus	2	comment	место
27661	27662	georg_lonsh	4	comment	место
27661	27651	erykov1234	4	comment	место
27661	27679	erykov1234	3	comment	место
27661	27649	raskolrus	2	comment	место
27661	27665	erykov1234	2	comment	место
27661	27667	erykov1234	3	comment	место
27661	27656	georg_lonsh	3	comment	место
27661	27649	erykov1234	4	comment	место
27666	27646	raskolrus	2	comment	место
27666	27669	erykov1234	3	comment	место
27666	27653	georg_lonsh	3	comment	место
27679	27652	raskolrus	3	comment	место
27679	27648	georg_lonsh	3	comment	место
27679	27659	raskolrus	4	comment	место
27679	27665	erykov1234	3	comment	место
27679	27664	raskolrus	3	comment	место
27679	27655	georg_lonsh	3	comment	место
27679	27658	georg_lonsh	2	comment	место
27655	27668	raskolrus	3	comment	место
27655	27661	raskolrus	2	comment	место
27655	27646	erykov1234	2	comment	место
27655	27654	erykov1234	2	comment	место
27655	27665	erykov1234	1	comment	место
27655	27661	georg_lonsh	3	comment	место
27655	27647	raskolrus	2	comment	место
27655	27662	erykov1234	2	comment	место
27655	27646	georg_lonsh	3	comment	место
27655	27648	erykov1234	4	comment	место
27655	27649	raskolrus	3	comment	место
27655	27678	erykov1234	2	comment	место
27667	27652	georg_lonsh	2	comment	место
27667	27653	georg_lonsh	3	comment	место
27667	27654	georg_lonsh	4	comment	место
27667	27662	erykov1234	3	comment	место
27667	27648	georg_lonsh	3	comment	место
27667	27649	georg_lonsh	3	comment	место
27659	27654	erykov1234	3	comment	место
27659	27665	georg_lonsh	3	comment	место
27659	27668	erykov1234	2	comment	место
27659	27673	georg_lonsh	3	comment	место
27659	27650	erykov1234	3	comment	место
27659	27657	raskolrus	2	comment	место
27659	27653	raskolrus	4	comment	место
27659	27674	georg_lonsh	3	comment	место
27659	27656	georg_lonsh	3	comment	место
27659	27677	raskolrus	4	comment	место
27659	27664	raskolrus	4	comment	место
27648	27666	raskolrus	3	comment	место
