lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
мир	NN	example	22	22_мир_86185		Совершение этого«из ряда вон выходящего» события есть не что иное, как революция, и поэтому революцию можно рассматривать как основополагающую стратегию, используемую историческим человеком для наведения порядка в мире.	214:218	0:219	27619	sem_cluster	ru	ek.gavrishina
мир	NN	example	22	22_мир_40575		И я не стал ничего ему рассказывать про Лас-Вегас, про родео в Канзасе, где один бык обманул устроителей, внезапно остановился на поле, усыпанном опилками, и всадник, который должен был прыгнуть на быка, схватить за рога и повалить наземь, то есть опозорить на глазах пятидесяти тысяч зрителей, проскочил на лошади мимо, и бык, помахивая хвостиком, спокойный и неопозоренный пошел назад, в свое стойло; я не рассказал ему про Тамерлана Чингисхановича, профессора русского языка, который одевался в голубое и ездил в громадном голубом кадиллаке, про собак, которые занимались любовью в фешенебельном зале при гостях, про миниатюрную красавицу Лолу, про ее друга гиганта Боба, или Бобчика, как его называли ласково, про шефа Лолы-- Криса, про Сузи, про Стива, про Рут, про Мишу, который потерял в Риме восемнадцать чемоданов, на этом помешался и не мог говорить ни о чем другом, про индейцев в Лоренсе, про то, как они сидели полусонные на тротуаре и курили марихуану, про снег в Миннеаполисе, про русский стол в студенческой столовой, где говорят только по-русски, а те, кто не умеют, молчат и слушают про сырую морковь, про бобы, про свежую, нарезанную тонкими нитями капусту, про белый хлеб, похожий на вату, про одну женщину в Беркли, которая плакала, про Сан-Диего, где была жара и дельфины как из катапульты выскакивали из воды в океанариуме, про то, как на обратном пути нас останавливала полиция, осматривала автомобиль, не везем ли мы мексиканцев, про то, как меня слушали, о чем спрашивали, почему смеялись, чего не могли понять; я не стал рассказывать ему про самую большую лошадь в мире, прибывшую из Канады, она стояла в особом павильоне, куда можно было зайти и за двадцать пять центов посмотреть на рыжей масти кобылу, повернувшуюся к зрителям исполинским задом, грива и хвост были светлые, иногда кобыла поворачивала голову и глядела злобным коричневым глазом; про всех несчастных, сумасшедших, благоустроенных, самодовольных, кого довелось встретить, про Бена Кларка, который вез меня ночью с аэродрома в Сан-Хозе в свой университет, по дороге заехали на ферму к его матери,	1592:1596	0:2089	27624	sem_cluster	ru	ek.gavrishina
мир	NN	example	22	22_мир_8564		Юный оперативник гордый, будто петушок, впервые самостоятельно отловивший червяка, глядел на мир полными счастья глазами.	93:96	0:121	27621	sem_cluster	ru	ek.gavrishina
мир	NN	example	22	22_мир_47483		Зато самыми первыми в нашей стране, да и в мире тоже!	43:47	0:53	27635	sem_cluster	ru	ek.gavrishina
мир	NN	example	22	22_мир_158012		Первые суть результаты законов нашего ума, вторые суть следствия нашего опыта или результаты физиологических свойств наших органов чувств, определяющих характер всех нашего восприятия внешнего мира.	193:197	0:198	27642	sem_cluster	ru	ek.gavrishina
мир	NN	example	22	22_мир_144730		Сильные мира сего-- слабые перед Богом.	8:12	0:39	27614	sem_cluster	ru	ek.gavrishina
мир	NN	example	22	22_мир_141524		Яркая живопись расцветала на стенах, пышны были расписные плафоны, полы по наклеенным холстинкам раскрашивались под вычурный паркет, а в окна видна была грязнейшая в мире улица.	166:170	0:177	27627	sem_cluster	ru	ek.gavrishina
мир	NN	example	22	22_мир_133710		Германский народ, более тысячи лет считавшийся христианским народом, народ, родивший Лютера, Гете, Канта и Гегеля, Гельмгольца и Вирхова, явил всему миру, народам-братьям во Христе и народам нехристианским неслыханно страшное лицо варвара, топчущего ногами св.	149:153	0:260	27632	sem_cluster	ru	ek.gavrishina
мир	NN	example	22	22_мир_135580		В Доме-- те же разговоры о людях литературного мира, те же бурно выраженные возмущения и радости Мариэтты Шагинян и те же сухари к вечернему чаю.	47:51	0:145	27644	sem_cluster	ru	ek.gavrishina
мир	NN	example	22	22_мир_49549		Носитель суеверий приписывает причинно-следственные связи явлениям окружающего мира, объективно не зависящим друг от друга.	79:83	0:123	27638	sem_cluster	ru	ek.gavrishina
мир	NN	example	22	22_мир_67429		Книга* написана известным в педагогическом мире ученым, человеком весьма почтенных лет(возраст, конечно, сам по себе ничего не определяет, но у многих народов принято к нему прислушиваться).	43:47	0:190	27611	sem_cluster	ru	ek.gavrishina
мир	NN	example	22	22_мир_169719		Мы хотели подсмотреть тот умственный процесс, которым они раздвоили мир на его форму-- пространство и время, и на его содержание-- вещество и его явления.	68:71	0:154	27631	sem_cluster	ru	ek.gavrishina
мир	NN	example	22	22_мир_42909		«Еврокомиссия опубликовала итоги подстрекательского опроса общественного мнения, в котором Израиль представляется как самая большая угроза миру во всем мире».	139:143	0:158	27629	sem_cluster	ru	ek.gavrishina
мир	NN	example	22	22_мир_8106		А наше государство подобно именно раковой клетке-- с его мессианством и экспансионизмом, тоталитарным подавлением инакомыслия, авторитарным строем власти, при котором полностью отсутствует контроль общественности над принятием важнейших решений в области внутренней и внешней политики, государство закрытое-- без информирования граждан о чем-либо существенном, закрытое для внешнего мира, без свободы передвижения и информационного обмена.	383:387	0:439	27612	sem_cluster	ru	ek.gavrishina
мир	NN	example	22	22_мир_115643		Не только свои медведи, но даже охотники умеют читать эти частушки в издании топких болот, от первых времен мира.	108:112	0:113	27620	sem_cluster	ru	ek.gavrishina
мир	NN	example	22	22_мир_17792		Над«аполлоновской» живописью(«Мир искусства») Модильяни откровенно смеялся.	30:33	0:75	27636	sem_cluster	ru	ek.gavrishina
мир	NN	example	22	22_мир_125827		-- А того смерда Ивашку, дав ему острастки ради двадцать пять горячих лоз, отпустить домой, мерзавца, с миром.	104:109	0:110	27626	sem_cluster	ru	ek.gavrishina
мир	NN	example	22	22_мир_56462		И об этом недвусмысленно свидетельствуют результаты международных интеллектуальных олимпиад, патентование за рубежом изобретений, сделанных в России, и настоящая охота, ведущаяся крупнейшими компаниями и университетами мира, за нашими лучшими специалистами.	219:223	0:257	27640	sem_cluster	ru	ek.gavrishina
мир	NN	example	22	22_мир_101929		Он ничего, ничего, ничего уже не понимал, а только чувствовал, какой-то, ранее доступной только Алёне, подоплёкой, что пришёл в движение огромный, страшный, трагический и вместе светлый круг, диск-- какого уже тысячи лет как нет, который в окружающем мире просто невозможен и даже ущербен.	251:255	0:289	27628	sem_cluster	ru	ek.gavrishina
мир	NN	example	22	22_мир_162688		Католичество было изгнано окончательно; с Берном, войска которого одержали блестящую победу над врагами Женевы, заключен в 1536 году«вечный мир», по которому Женева признана независимой, но обязуется не заключать союзов с другими державами, не искать чужой помощи без согласия Берна, уплатить большие суммы за военные издержки, открыть свободный доступ всем бернским гражданам; при этом самым прочным ручательством в сохранении мира должно служить полное единомыслие в делах веры.	140:143	0:480	27637	sem_cluster	ru	ek.gavrishina
мир	NN	example	22	22_мир_69865		Широта и сложность литературного фона«Слова о полку Игореве» свидетельствуют о широте и интенсивности литературных связей Древней Руси с окружающим миром, заставляют еще раз, вслед за А.К. Толстым, горько пожалеть о том, как безжалостно была затоптана татарскими сапогами заря замечательной культуры, которая разгоралась на Руси в XII--XIII веках.	148:153	0:347	27634	sem_cluster	ru	ek.gavrishina
мир	NN	example	22	22_мир_161314		Собирание сведений, данных, деталей дела повсюду, во всем мире, поручается полиции, тайным ее агентам.	58:62	0:102	27623	sem_cluster	ru	ek.gavrishina
мир	NN	example	22	22_мир_46557		Когда я увидел всех этих кукол вблизи, за кулисами, мир перевернулся.	52:55	0:69	27610	sem_cluster	ru	ek.gavrishina
мир	NN	example	22	22_мир_111271		Молчит, хотя арест Платона Лебедева по приватизационной сделке 1994 года и последовавшие разборки Генеральной прокуратуры с«ЮКОСом» вызвали волну комментариев и дискуссий по всему миру.	180:184	0:185	27617	sem_cluster	ru	ek.gavrishina
мир	NN	example	22	22_мир_123514		Разбрасывая своих племянниц по разным глухим углам немецкого мира, выдав одну за герцога курляндского, другую за герцога мекленбургского, Петр втягивался в придворные дрязги и мелкие династические интересы огромной феодальной паутины, опутывавшей великую культурную нацию.	61:65	0:272	27613	sem_cluster	ru	ek.gavrishina
мир	NN	example	22	22_мир_60220		А. П. Маресьев в живой, увлекательной форме, с редкой простотой и выразительностью поделился с аудиторией своими личными впечатлениями о Париже, о стремлении к миру французского народа, о грандиозном митинге, который был устроен на стадионе Буффало, о выступлениях на конгрессе и об отношении к Советской стране и ее делегатам всех участников конгресса от 72 стран, представлявших более 600 миллионов человек.	160:164	0:409	27615	sem_cluster	ru	ek.gavrishina
мир	NN	example	22	22_мир_148730		Иными словами, при помощи умозаключения по аналогии я догадываюсь о существовании мира не-я, по крайней мере как мира, населенного другими человеческими сознаниями.	82:86	0:164	27616	sem_cluster	ru	ek.gavrishina
мир	NN	example	22	22_мир_152963		Кирилка растил в груди злобу против всего мира.	42:46	0:47	27633	sem_cluster	ru	ek.gavrishina
мир	NN	example	22	22_мир_162854		Все крестьяне по Заволжью были оброчные, пользовались всей землей сполна и управлялись излюбленными миром старостами.	100:105	0:117	27625	sem_cluster	ru	ek.gavrishina
мир	NN	example	22	22_мир_21120		Для вас Полинезийская Спорада по принципу существования не отличается от загробного мира, от мира параллельного или от какого-нибудь Мордора.	84:88	0:141	27641	sem_cluster	ru	ek.gavrishina
мир	NN	example	22	22_мир_183623		2-3Под сими словами сочинитель разумеет преглупую свою французскую оду, на случай мира между Россиею и Оттоманскою Портою сочиненную.	82:86	0:133	27622	sem_cluster	ru	ek.gavrishina
мир	NN	example	22	22_мир_111526		Большинство респондентов усомнилось в реальности поставленной президентом задачи-- сделать Россию экономически сильной, передовой и вполне конкурентоспособной страной по сравнению с другими государствами мира.	204:208	0:209	27643	sem_cluster	ru	ek.gavrishina
мир	NN	example	22	22_мир_100830		В вольном городе W. было так много типографий и инквизиторов, что казалось, жители города рождаются лишь затем, чтобы вырасти, осознать все несовершенство этого мира, напечатать в типографии еретическую листовку и сразу же умереть.	161:165	0:231	27618	sem_cluster	ru	ek.gavrishina
