identifier1	identifier2	annotator	judgment	comment	lemma
27982	27969	raskolrus	2	comment	ночь
27982	27972	erykov1234	4	comment	ночь
27982	27975	georg_lonsh	3	comment	ночь
27969	27970	georg_lonsh	4	comment	ночь
27969	27986	georg_lonsh	4	comment	ночь
27969	27984	raskolrus	3	comment	ночь
27969	27964	erykov1234	0	comment	ночь
27969	27977	georg_lonsh	4	comment	ночь
27969	27991	georg_lonsh	4	comment	ночь
27977	27982	raskolrus	2	comment	ночь
27977	27970	raskolrus	3	comment	ночь
27977	27970	erykov1234	4	comment	ночь
27977	27961	georg_lonsh	4	comment	ночь
27977	27963	erykov1234	0	comment	ночь
27977	27962	georg_lonsh	4	comment	ночь
27978	27963	erykov1234	4	comment	ночь
27978	27982	erykov1234	4	comment	ночь
27978	27980	erykov1234	4	comment	ночь
27978	27983	raskolrus	3	comment	ночь
27978	27960	raskolrus	4	comment	ночь
27975	27966	georg_lonsh	4	comment	ночь
27975	27960	georg_lonsh	4	comment	ночь
27975	27988	raskolrus	4	comment	ночь
27975	27972	georg_lonsh	4	comment	ночь
27975	27991	erykov1234	4	comment	ночь
27975	27967	georg_lonsh	3	comment	ночь
27975	27986	raskolrus	4	comment	ночь
27975	27970	raskolrus	4	comment	ночь
27990	27979	raskolrus	4	comment	ночь
27990	27972	raskolrus	4	comment	ночь
27990	27965	georg_lonsh	4	comment	ночь
27990	27975	raskolrus	4	comment	ночь
27990	27984	georg_lonsh	3	comment	ночь
27990	27989	raskolrus	3	comment	ночь
27990	27964	raskolrus	4	comment	ночь
27990	27985	georg_lonsh	4	comment	ночь
27990	27962	erykov1234	4	comment	ночь
27990	27988	erykov1234	4	comment	ночь
27960	27983	georg_lonsh	4	comment	ночь
27960	27994	raskolrus	4	comment	ночь
27960	27966	erykov1234	4	comment	ночь
27960	27983	raskolrus	3	comment	ночь
27992	27966	raskolrus	0	comment	ночь
27992	27990	erykov1234	4	comment	ночь
27992	27990	raskolrus	4	comment	ночь
27963	27971	erykov1234	0	comment	ночь
27963	27966	erykov1234	4	comment	ночь
27967	27965	georg_lonsh	3	comment	ночь
27967	27982	georg_lonsh	2	comment	ночь
27967	27981	erykov1234	2	comment	ночь
27967	27970	raskolrus	4	comment	ночь
27967	27974	raskolrus	4	comment	ночь
27993	27975	erykov1234	4	comment	ночь
27993	27961	erykov1234	3	comment	ночь
27993	27990	erykov1234	3	comment	ночь
27993	27969	erykov1234	3	comment	ночь
27993	27985	erykov1234	3	comment	ночь
27993	27989	georg_lonsh	4	comment	ночь
27993	27980	raskolrus	3	comment	ночь
27993	27979	erykov1234	4	comment	ночь
27993	27990	raskolrus	3	comment	ночь
27993	27967	raskolrus	3	comment	ночь
27974	27991	raskolrus	0	comment	ночь
27974	27977	raskolrus	3	comment	ночь
27974	27993	erykov1234	3	comment	ночь
27974	27971	erykov1234	4	comment	ночь
27974	27985	erykov1234	4	comment	ночь
27981	27960	raskolrus	3	comment	ночь
27981	27990	georg_lonsh	4	comment	ночь
27981	27977	georg_lonsh	4	comment	ночь
27981	27994	raskolrus	3	comment	ночь
27981	27980	erykov1234	4	comment	ночь
27981	27984	erykov1234	4	comment	ночь
27981	27960	georg_lonsh	4	comment	ночь
27981	27974	erykov1234	4	comment	ночь
27981	27990	erykov1234	4	comment	ночь
27980	27978	raskolrus	0	comment	ночь
27980	27967	raskolrus	3	comment	ночь
27980	27972	georg_lonsh	4	comment	ночь
27983	27969	raskolrus	3	comment	ночь
27983	27993	erykov1234	3	comment	ночь
27983	27974	georg_lonsh	4	comment	ночь
27983	27966	erykov1234	3	comment	ночь
27983	27975	georg_lonsh	4	comment	ночь
27983	27977	georg_lonsh	4	comment	ночь
27970	27974	raskolrus	4	comment	ночь
27970	27972	erykov1234	4	comment	ночь
27970	27964	erykov1234	0	comment	ночь
27970	27973	raskolrus	3	comment	ночь
27984	27974	raskolrus	3	comment	ночь
27984	27969	georg_lonsh	4	comment	ночь
27984	27975	erykov1234	4	comment	ночь
27984	27988	erykov1234	3	comment	ночь
27968	27975	erykov1234	4	comment	ночь
27968	27961	erykov1234	4	comment	ночь
27968	27976	georg_lonsh	4	comment	ночь
27968	27964	erykov1234	4	comment	ночь
27968	27981	georg_lonsh	4	comment	ночь
27968	27978	raskolrus	4	comment	ночь
27987	27993	erykov1234	0	comment	ночь
27987	27969	raskolrus	3	comment	ночь
27987	27963	georg_lonsh	4	comment	ночь
27987	27979	raskolrus	2	comment	ночь
27987	27982	erykov1234	3	comment	ночь
27991	27982	georg_lonsh	3	comment	ночь
27991	27986	erykov1234	3	comment	ночь
27991	27964	raskolrus	4	comment	ночь
27991	27993	raskolrus	3	comment	ночь
27991	27990	georg_lonsh	4	comment	ночь
27991	27968	erykov1234	4	comment	ночь
27991	27974	georg_lonsh	4	comment	ночь
27979	27992	raskolrus	4	comment	ночь
27979	27978	raskolrus	3	comment	ночь
27979	27968	erykov1234	4	comment	ночь
27979	27977	erykov1234	4	comment	ночь
27971	27967	raskolrus	0	comment	ночь
27971	27965	raskolrus	3	comment	ночь
27971	27979	georg_lonsh	4	comment	ночь
27971	27963	georg_lonsh	4	comment	ночь
27971	27973	erykov1234	4	comment	ночь
27976	27965	erykov1234	4	comment	ночь
27976	27994	georg_lonsh	4	comment	ночь
27988	27978	erykov1234	4	comment	ночь
27988	27980	georg_lonsh	4	comment	ночь
27988	27971	erykov1234	4	comment	ночь
27988	27985	raskolrus	0	comment	ночь
27988	27993	raskolrus	3	comment	ночь
27989	27973	erykov1234	4	comment	ночь
27989	27985	raskolrus	0	comment	ночь
27989	27990	georg_lonsh	4	comment	ночь
27989	27984	georg_lonsh	3	comment	ночь
27989	27974	raskolrus	4	comment	ночь
27989	27987	georg_lonsh	4	comment	ночь
27989	27993	raskolrus	3	comment	ночь
27989	27968	erykov1234	4	comment	ночь
27994	27971	erykov1234	0	comment	ночь
27994	27988	erykov1234	4	comment	ночь
27994	27984	erykov1234	4	comment	ночь
27994	27982	georg_lonsh	3	comment	ночь
27994	27963	raskolrus	4	comment	ночь
27994	27976	raskolrus	4	comment	ночь
27964	27972	erykov1234	3	comment	ночь
27964	27990	erykov1234	4	comment	ночь
27964	27963	georg_lonsh	4	comment	ночь
27964	27977	erykov1234	0	comment	ночь
27964	27962	erykov1234	4	comment	ночь
27964	27970	raskolrus	4	comment	ночь
27986	27989	georg_lonsh	4	comment	ночь
27986	27967	raskolrus	4	comment	ночь
27986	27988	georg_lonsh	4	comment	ночь
27986	27976	erykov1234	4	comment	ночь
27986	27980	erykov1234	4	comment	ночь
27986	27975	erykov1234	4	comment	ночь
