identifier1	identifier2	annotator	judgment	comment	lemma
28235	28231	georg_lonsh	0	comment	работа
28235	28230	erykov1234	2	comment	работа
28235	28237	raskolrus	4	comment	работа
28235	28212	erykov1234	2	comment	работа
28235	28222	georg_lonsh	3	comment	работа
28235	28232	georg_lonsh	3	comment	работа
28215	28225	erykov1234	2	comment	работа
28215	28226	erykov1234	1	comment	работа
28215	28224	georg_lonsh	4	comment	работа
28215	28227	erykov1234	1	comment	работа
28213	28220	erykov1234	0	comment	работа
28213	28206	raskolrus	4	comment	работа
28213	28238	erykov1234	3	comment	работа
28213	28212	georg_lonsh	3	comment	работа
28213	28235	erykov1234	2	comment	работа
28213	28231	erykov1234	3	comment	работа
28213	28237	raskolrus	3	comment	работа
28223	28210	raskolrus	3	comment	работа
28223	28222	erykov1234	3	comment	работа
28223	28237	georg_lonsh	0	comment	работа
28223	28221	raskolrus	3	comment	работа
28227	28217	georg_lonsh	3	comment	работа
28227	28232	raskolrus	2	comment	работа
28227	28222	raskolrus	2	comment	работа
28227	28215	georg_lonsh	3	comment	работа
28227	28224	raskolrus	3	comment	работа
28227	28236	raskolrus	4	comment	работа
28227	28236	erykov1234	4	comment	работа
28227	28234	georg_lonsh	4	comment	работа
28227	28237	raskolrus	3	comment	работа
28227	28232	erykov1234	0	comment	работа
28227	28225	georg_lonsh	4	comment	работа
28227	28229	raskolrus	2	comment	работа
28237	28221	georg_lonsh	3	comment	работа
28237	28234	raskolrus	2	comment	работа
28237	28238	raskolrus	2	comment	работа
28237	28210	georg_lonsh	3	comment	работа
28237	28218	georg_lonsh	4	comment	работа
28237	28215	georg_lonsh	3	comment	работа
28237	28217	raskolrus	2	comment	работа
28237	28214	raskolrus	3	comment	работа
28211	28212	georg_lonsh	4	comment	работа
28211	28224	georg_lonsh	3	comment	работа
28211	28232	georg_lonsh	3	comment	работа
28211	28209	georg_lonsh	3	comment	работа
28211	28218	erykov1234	4	comment	работа
28211	28237	erykov1234	0	comment	работа
28225	28230	raskolrus	2	comment	работа
28225	28226	erykov1234	4	comment	работа
28225	28205	erykov1234	1	comment	работа
28233	28210	erykov1234	2	comment	работа
28233	28232	erykov1234	2	comment	работа
28233	28227	georg_lonsh	3	comment	работа
28233	28207	raskolrus	2	comment	работа
28233	28232	raskolrus	2	comment	работа
28233	28238	raskolrus	2	comment	работа
28233	28217	georg_lonsh	3	comment	работа
28218	28216	georg_lonsh	3	comment	работа
28218	28206	erykov1234	3	comment	работа
28218	28216	raskolrus	3	comment	работа
28218	28222	erykov1234	3	comment	работа
28218	28223	raskolrus	2	comment	работа
28218	28235	georg_lonsh	0	comment	работа
28218	28226	georg_lonsh	3	comment	работа
28212	28211	erykov1234	2	comment	работа
28212	28213	erykov1234	2	comment	работа
28212	28218	georg_lonsh	3	comment	работа
28212	28222	georg_lonsh	3	comment	работа
28212	28229	raskolrus	2	comment	работа
28212	28222	erykov1234	3	comment	работа
28212	28223	erykov1234	0	comment	работа
28212	28226	erykov1234	1	comment	работа
28239	28236	georg_lonsh	3	comment	работа
28239	28209	raskolrus	2	comment	работа
28239	28230	raskolrus	3	comment	работа
28239	28236	erykov1234	1	comment	работа
28239	28213	georg_lonsh	3	comment	работа
28239	28220	georg_lonsh	0	comment	работа
28239	28237	raskolrus	2	comment	работа
28239	28205	raskolrus	2	comment	работа
28239	28217	erykov1234	0	comment	работа
28239	28238	raskolrus	2	comment	работа
28229	28205	erykov1234	3	comment	работа
28229	28232	erykov1234	2	comment	работа
28229	28231	raskolrus	3	comment	работа
28229	28207	erykov1234	2	comment	работа
28229	28212	erykov1234	2	comment	работа
28229	28212	georg_lonsh	3	comment	работа
28229	28228	erykov1234	3	comment	работа
28229	28213	erykov1234	3	comment	работа
28222	28237	georg_lonsh	4	comment	работа
28222	28206	georg_lonsh	3	comment	работа
28222	28216	georg_lonsh	3	comment	работа
28222	28210	georg_lonsh	4	comment	работа
28222	28221	georg_lonsh	0	comment	работа
28222	28214	erykov1234	3	comment	работа
28222	28218	georg_lonsh	4	comment	работа
28222	28225	erykov1234	2	comment	работа
28222	28231	georg_lonsh	4	comment	работа
28236	28209	georg_lonsh	3	comment	работа
28236	28232	erykov1234	0	comment	работа
28236	28220	georg_lonsh	3	comment	работа
28236	28222	raskolrus	3	comment	работа
28238	28234	erykov1234	3	comment	работа
28238	28226	georg_lonsh	3	comment	работа
28238	28213	raskolrus	3	comment	работа
28224	28206	georg_lonsh	3	comment	работа
28224	28212	erykov1234	2	comment	работа
28224	28219	raskolrus	3	comment	работа
28224	28210	georg_lonsh	4	comment	работа
28224	28206	raskolrus	2	comment	работа
28205	28211	erykov1234	1	comment	работа
28205	28233	georg_lonsh	3	comment	работа
28205	28229	raskolrus	4	comment	работа
28205	28236	georg_lonsh	3	comment	работа
28205	28236	raskolrus	2	comment	работа
28205	28235	georg_lonsh	4	comment	работа
28205	28210	erykov1234	2	comment	работа
28230	28221	erykov1234	1	comment	работа
28230	28223	georg_lonsh	3	comment	работа
28230	28236	raskolrus	2	comment	работа
28230	28222	erykov1234	2	comment	работа
28230	28207	erykov1234	3	comment	работа
28209	28219	raskolrus	2	comment	работа
28209	28230	raskolrus	3	comment	работа
28209	28222	erykov1234	4	comment	работа
28209	28220	raskolrus	4	comment	работа
28209	28224	georg_lonsh	4	comment	работа
28209	28231	raskolrus	4	comment	работа
28216	28231	erykov1234	4	comment	работа
28216	28219	raskolrus	2	comment	работа
28216	28229	georg_lonsh	3	comment	работа
28216	28210	georg_lonsh	4	comment	работа
28231	28228	georg_lonsh	3	comment	работа
28231	28237	erykov1234	3	comment	работа
28231	28207	georg_lonsh	3	comment	работа
28231	28239	raskolrus	2	comment	работа
28231	28222	raskolrus	3	comment	работа
28231	28219	erykov1234	1	comment	работа
28231	28223	erykov1234	4	comment	работа
28231	28221	raskolrus	3	comment	работа
28231	28218	georg_lonsh	4	comment	работа
28217	28223	raskolrus	2	comment	работа
28217	28213	erykov1234	0	comment	работа
28217	28227	erykov1234	1	comment	работа
28220	28224	erykov1234	4	comment	работа
28220	28229	georg_lonsh	3	comment	работа
28220	28235	erykov1234	0	comment	работа
28220	28231	raskolrus	4	comment	работа
28220	28234	erykov1234	1	comment	работа
28232	28209	erykov1234	2	comment	работа
28232	28237	raskolrus	2	comment	работа
28232	28210	erykov1234	3	comment	работа
28232	28231	erykov1234	0	comment	работа
28234	28220	georg_lonsh	3	comment	работа
28234	28230	georg_lonsh	3	comment	работа
28234	28229	erykov1234	0	comment	работа
28234	28213	raskolrus	4	comment	работа
28206	28231	georg_lonsh	3	comment	работа
28206	28210	erykov1234	2	comment	работа
28206	28234	erykov1234	4	comment	работа
28206	28222	erykov1234	1	comment	работа
28208	28228	erykov1234	2	comment	работа
28208	28223	erykov1234	4	comment	работа
28208	28222	georg_lonsh	3	comment	работа
28210	28212	georg_lonsh	3	comment	работа
28210	28235	raskolrus	2	comment	работа
28210	28238	raskolrus	3	comment	работа
28210	28226	raskolrus	3	comment	работа
28210	28230	raskolrus	3	comment	работа
28210	28229	erykov1234	3	comment	работа
28210	28217	raskolrus	2	comment	работа
28210	28222	raskolrus	4	comment	работа
28219	28217	raskolrus	2	comment	работа
28219	28225	georg_lonsh	0	comment	работа
28219	28209	georg_lonsh	3	comment	работа
28219	28235	raskolrus	3	comment	работа
28219	28235	georg_lonsh	3	comment	работа
28207	28215	erykov1234	3	comment	работа
28207	28237	erykov1234	2	comment	работа
28207	28220	erykov1234	3	comment	работа
28226	28208	erykov1234	2	comment	работа
28226	28237	georg_lonsh	3	comment	работа
28226	28219	raskolrus	2	comment	работа
28226	28222	raskolrus	3	comment	работа
28214	28226	erykov1234	1	comment	работа
28214	28210	erykov1234	2	comment	работа
28214	28209	georg_lonsh	4	comment	работа
28214	28211	georg_lonsh	3	comment	работа
28214	28219	erykov1234	0	comment	работа
28214	28229	erykov1234	0	comment	работа
28214	28226	georg_lonsh	0	comment	работа
28228	28211	georg_lonsh	3	comment	работа
28228	28234	georg_lonsh	3	comment	работа
28228	28223	erykov1234	4	comment	работа
28228	28222	raskolrus	3	comment	работа
28221	28232	georg_lonsh	3	comment	работа
28221	28233	raskolrus	4	comment	работа
28221	28218	raskolrus	4	comment	работа
28221	28215	erykov1234	3	comment	работа
