lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
работа	NN	example	22	22_работа_119947		Сейчас колоссальная, организованная научно-исследовательская работа требует плановости, коллективности, целеустремленности.	61:67	0:123	28235	sem_cluster	ru	ek.gavrishina
работа	NN	example	22	22_работа_132721		Веришь ли, по горло работы, голова идет кругом.	20:26	0:47	28215	sem_cluster	ru	ek.gavrishina
работа	NN	example	22	22_работа_114937		В то же время в Конном центре добровольчество составляет неотъемлемое и необходимое условие работы, так как за счет него на регулярной основе восполняются недостающие ресурсы.	92:98	0:175	28213	sem_cluster	ru	ek.gavrishina
работа	NN	example	22	22_работа_222420		На ваши работы долгого времени не требуется, недели в полторы можете все исправить, коли лениться не станете...	8:14	0:111	28223	sem_cluster	ru	ek.gavrishina
работа	NN	example	22	22_работа_132842		Но все произошло проще, чем я думал: однажды в конце марта, вернувшись домой с работы, я застал пустую комнату, и только в углу у окна на постеленной на пол газете были аккуратно сложены мои носильные вещи.	79:85	0:206	28227	sem_cluster	ru	ek.gavrishina
работа	NN	example	22	22_работа_151578		Если численность опустившихся«на дно» людей будет нарастать такими же темпами, то через 5-6 лет генофонд нации будет окончательно подорван, работать в России станет некому и ни одно, даже самое патриотическое правительство, не сможет организовать эффективную работу по возрождению страны.	259:265	0:288	28237	sem_cluster	ru	ek.gavrishina
работа	NN	example	22	22_работа_31434		В поздний час светлой ночи перегородили мы озерцо двумя связанными мережками, приткнули плот шестом к берегу и полюбовались своей работой: сети стояли-- лучше некуда!	130:137	0:166	28211	sem_cluster	ru	ek.gavrishina
работа	NN	example	22	22_работа_133705		А после этого, думала я, под каким-нибудь предлогом я откажусь от работы в ГАФКЭ.	66:72	0:81	28225	sem_cluster	ru	ek.gavrishina
работа	NN	example	22	22_работа_151439		Это позволит усилить защиту граждан от произвола чиновников и будет способствовать эффективности работы госаппарата, отметил премьер ведь во многих странах административная юстиция давно зарекомендовала себя как надежное средство обеспечения деятельности административной системы в правовых рамках.	97:103	0:298	28233	sem_cluster	ru	ek.gavrishina
работа	NN	example	22	22_работа_158046		Не приходится, конечно, доказывать, что никакая система наказаний не принесет пользы, если не обеспечена правильная организация коллектива-- точное взаимоотношение частей, воля директора, общественное мнение, активная работа органов самоуправления, внешкольная работа,-- если ученики не гордятся своей школой и не дорожат ее добрым именем.	218:224	0:339	28218	sem_cluster	ru	ek.gavrishina
работа	NN	example	22	22_работа_91791		Завершением этих летописных работ было составление при царе Иване Грозном Никоновской летописи(получившей это название от одного из списков летописи, принадлежавшего в XVII в. патриарху Никону) и Степенной книги, дававших цельную концепцию истории русского народа.	28:33	0:264	28212	sem_cluster	ru	ek.gavrishina
работа	NN	example	22	22_работа_117084		Весьма небольшая часть работ, иллюстрирующих сказанное и отражающая применение компьютерного моделирования нелинейных процессов, приведена в списке литературы к введению.	23:28	0:170	28239	sem_cluster	ru	ek.gavrishina
работа	NN	example	22	22_работа_87903		Сотни и тысячи народных театров, взрослых и детских, вокальных, музыкальных, хореографических коллективов, оркестров, киностудий, студий и кружков изобразительного искусства имеют опытных, заботливых шефов, которые не жалеют ни сил, ни времени для работы с людьми, для развития их творческих способностей, дарований и талантов.	248:254	0:327	28229	sem_cluster	ru	ek.gavrishina
работа	NN	example	22	22_работа_137457		К тому времени ко мне от службы безопасности уже начали поступать записки-письма с отрицательными оценками работы отдельных наших сотрудников, как правило, ответственных и наиболее толковых, с намеками на их якобы принадлежность к иностранным разведывательным службам.	107:113	0:268	28222	sem_cluster	ru	ek.gavrishina
работа	NN	example	22	22_работа_101477		Сама я в свое время ушла с работы именно, потому что там зарплата была в конверте.	27:33	0:82	28236	sem_cluster	ru	ek.gavrishina
работа	NN	example	22	22_работа_122208		Прекрасный товарищ, талантливый писатель, обладавший широчайшими знаниями в области науки и философии, Владимир Орлов до конца своей жизни оказывал благотворное влияние на работу«Техники-- молодежи».	172:178	0:199	28238	sem_cluster	ru	ek.gavrishina
работа	NN	example	22	22_работа_25024		Но возникает опасность, что добро погибнет, не успев сделать свою полезную, необходимую работу.	88:94	0:95	28224	sem_cluster	ru	ek.gavrishina
работа	NN	example	22	22_работа_60413		Раиса БАСАНЬКО, председатель комиссии по работе с молодежью областного совета ветеранов войны, труда, Вооруженных Сил и правоохранительных органов.	41:47	0:147	28205	sem_cluster	ru	ek.gavrishina
работа	NN	example	22	22_работа_219967		Пострадала придворная церковь Благовещения: внутри ее сгорел иконостас работы знаменитого русскою художника Андрея Рублева.	71:77	0:123	28230	sem_cluster	ru	ek.gavrishina
работа	NN	example	22	22_работа_211196		Снова в разгаре какой-нибудь работы их руки сближались и оставались одна в другой, поднятую для переноски тяжесть опускали на пол, не донеся до цели, и приступ туманящей непобедимой нежности обезоруживал их.	29:35	0:207	28209	sem_cluster	ru	ek.gavrishina
