identifier1	identifier2	annotator	judgment	comment	lemma
28350	28361	erykov1234	4	comment	результат
28350	28375	raskolrus	2	comment	результат
28350	28356	georg_lonsh	0	comment	результат
28350	28378	raskolrus	3	comment	результат
28350	28348	erykov1234	3	comment	результат
28350	28357	erykov1234	3	comment	результат
28350	28367	georg_lonsh	3	comment	результат
28350	28357	georg_lonsh	3	comment	результат
28374	28369	georg_lonsh	3	comment	результат
28374	28349	erykov1234	4	comment	результат
28375	28374	georg_lonsh	3	comment	результат
28375	28365	georg_lonsh	4	comment	результат
28375	28364	georg_lonsh	3	comment	результат
28375	28353	georg_lonsh	3	comment	результат
28375	28347	erykov1234	4	comment	результат
28375	28379	georg_lonsh	4	comment	результат
28353	28374	erykov1234	4	comment	результат
28353	28354	raskolrus	2	comment	результат
28353	28360	raskolrus	2	comment	результат
28353	28376	raskolrus	2	comment	результат
28353	28349	raskolrus	2	comment	результат
28353	28365	erykov1234	4	comment	результат
28353	28370	erykov1234	4	comment	результат
28353	28346	georg_lonsh	3	comment	результат
28346	28359	raskolrus	4	comment	результат
28346	28347	raskolrus	3	comment	результат
28346	28363	erykov1234	4	comment	результат
28346	28354	erykov1234	4	comment	результат
28346	28351	georg_lonsh	0	comment	результат
28346	28373	georg_lonsh	4	comment	результат
28346	28350	georg_lonsh	0	comment	результат
28356	28376	georg_lonsh	0	comment	результат
28356	28345	erykov1234	3	comment	результат
28356	28360	erykov1234	4	comment	результат
28356	28347	erykov1234	4	comment	результат
28372	28375	raskolrus	3	comment	результат
28372	28370	raskolrus	3	comment	результат
28362	28363	raskolrus	3	comment	результат
28362	28347	georg_lonsh	3	comment	результат
28362	28356	raskolrus	2	comment	результат
28362	28377	georg_lonsh	4	comment	результат
28362	28363	georg_lonsh	4	comment	результат
28362	28369	erykov1234	4	comment	результат
28362	28379	raskolrus	2	comment	результат
28377	28352	erykov1234	4	comment	результат
28377	28368	raskolrus	3	comment	результат
28377	28362	erykov1234	4	comment	результат
28377	28357	raskolrus	3	comment	результат
28377	28373	georg_lonsh	0	comment	результат
28377	28369	erykov1234	4	comment	результат
28377	28376	raskolrus	4	comment	результат
28377	28348	erykov1234	4	comment	результат
28377	28352	raskolrus	2	comment	результат
28355	28348	raskolrus	4	comment	результат
28355	28357	raskolrus	3	comment	результат
28355	28359	georg_lonsh	3	comment	результат
28355	28348	georg_lonsh	4	comment	результат
28355	28362	raskolrus	3	comment	результат
28355	28372	erykov1234	4	comment	результат
28376	28364	georg_lonsh	3	comment	результат
28376	28348	georg_lonsh	0	comment	результат
28347	28364	raskolrus	2	comment	результат
28347	28372	georg_lonsh	3	comment	результат
28347	28355	raskolrus	2	comment	результат
28347	28361	erykov1234	1	comment	результат
28347	28357	georg_lonsh	4	comment	результат
28347	28361	georg_lonsh	3	comment	результат
28371	28355	georg_lonsh	3	comment	результат
28371	28379	raskolrus	3	comment	результат
28371	28362	raskolrus	3	comment	результат
28371	28347	raskolrus	4	comment	результат
28371	28357	georg_lonsh	3	comment	результат
28360	28375	raskolrus	4	comment	результат
28360	28345	erykov1234	4	comment	результат
28361	28360	erykov1234	1	comment	результат
28361	28354	raskolrus	2	comment	результат
28361	28362	erykov1234	1	comment	результат
28361	28360	georg_lonsh	3	comment	результат
28361	28349	georg_lonsh	3	comment	результат
28345	28352	raskolrus	3	comment	результат
28345	28365	georg_lonsh	3	comment	результат
28345	28362	erykov1234	4	comment	результат
28345	28351	georg_lonsh	4	comment	результат
28345	28350	erykov1234	1	comment	результат
28345	28364	raskolrus	4	comment	результат
28366	28359	erykov1234	4	comment	результат
28366	28359	georg_lonsh	3	comment	результат
28366	28370	georg_lonsh	3	comment	результат
28366	28350	erykov1234	3	comment	результат
28366	28361	raskolrus	2	comment	результат
28366	28378	raskolrus	2	comment	результат
28366	28347	georg_lonsh	0	comment	результат
28366	28379	georg_lonsh	3	comment	результат
28349	28356	erykov1234	4	comment	результат
28349	28350	raskolrus	2	comment	результат
28349	28364	erykov1234	4	comment	результат
28349	28372	erykov1234	4	comment	результат
28349	28370	raskolrus	3	comment	результат
28349	28348	raskolrus	2	comment	результат
28348	28360	erykov1234	4	comment	результат
28348	28362	georg_lonsh	0	comment	результат
28348	28379	georg_lonsh	3	comment	результат
28348	28358	georg_lonsh	0	comment	результат
28352	28368	erykov1234	4	comment	результат
28352	28369	raskolrus	3	comment	результат
28352	28375	raskolrus	3	comment	результат
28352	28347	georg_lonsh	3	comment	результат
28352	28374	raskolrus	2	comment	результат
28352	28367	raskolrus	2	comment	результат
28367	28352	erykov1234	4	comment	результат
