identifier1	identifier2	annotator	judgment	comment	lemma
28096	28070	georg_lonsh	3	comment	рука
28096	28076	georg_lonsh	3	comment	рука
28096	28073	georg_lonsh	3	comment	рука
28096	28066	georg_lonsh	3	comment	рука
28075	28094	erykov1234	4	comment	рука
28075	28065	erykov1234	4	comment	рука
28075	28088	erykov1234	4	comment	рука
28075	28096	erykov1234	3	comment	рука
28075	28070	erykov1234	4	comment	рука
28075	28073	raskolrus	4	comment	рука
28075	28084	raskolrus	4	comment	рука
28075	28093	georg_lonsh	4	comment	рука
28075	28071	erykov1234	4	comment	рука
28075	28093	erykov1234	4	comment	рука
28079	28090	erykov1234	4	comment	рука
28079	28085	raskolrus	3	comment	рука
28079	28077	georg_lonsh	4	comment	рука
28079	28093	georg_lonsh	4	comment	рука
28079	28089	erykov1234	3	comment	рука
28079	28065	raskolrus	4	comment	рука
28081	28099	raskolrus	3	comment	рука
28081	28088	erykov1234	4	comment	рука
28081	28084	raskolrus	4	comment	рука
28081	28098	raskolrus	4	comment	рука
28081	28077	raskolrus	4	comment	рука
28081	28078	erykov1234	3	comment	рука
28081	28091	georg_lonsh	4	comment	рука
28084	28087	georg_lonsh	4	comment	рука
28084	28089	raskolrus	4	comment	рука
28082	28095	erykov1234	3	comment	рука
28082	28092	georg_lonsh	4	comment	рука
28082	28071	raskolrus	4	comment	рука
28082	28089	erykov1234	4	comment	рука
28087	28085	erykov1234	4	comment	рука
28087	28093	erykov1234	4	comment	рука
28087	28076	raskolrus	3	comment	рука
28087	28082	erykov1234	4	comment	рука
28087	28085	raskolrus	4	comment	рука
28087	28065	raskolrus	3	comment	рука
28068	28065	georg_lonsh	4	comment	рука
28068	28085	raskolrus	3	comment	рука
28068	28082	raskolrus	4	comment	рука
28068	28065	erykov1234	4	comment	рука
28068	28071	raskolrus	4	comment	рука
28068	28084	erykov1234	4	comment	рука
28068	28098	erykov1234	4	comment	рука
28095	28097	raskolrus	2	comment	рука
28095	28094	erykov1234	4	comment	рука
28097	28094	erykov1234	3	comment	рука
28097	28072	georg_lonsh	3	comment	рука
28097	28093	georg_lonsh	0	comment	рука
28067	28068	erykov1234	2	comment	рука
28067	28097	erykov1234	2	comment	рука
28067	28094	erykov1234	2	comment	рука
28067	28095	georg_lonsh	3	comment	рука
28094	28099	georg_lonsh	4	comment	рука
28094	28076	raskolrus	4	comment	рука
28094	28098	raskolrus	3	comment	рука
28094	28084	erykov1234	4	comment	рука
28094	28073	erykov1234	4	comment	рука
28094	28071	erykov1234	4	comment	рука
28094	28081	georg_lonsh	4	comment	рука
28094	28066	raskolrus	3	comment	рука
28094	28070	georg_lonsh	4	comment	рука
28094	28071	georg_lonsh	4	comment	рука
28073	28085	raskolrus	4	comment	рука
28073	28099	georg_lonsh	4	comment	рука
28073	28079	raskolrus	4	comment	рука
28073	28084	georg_lonsh	4	comment	рука
28071	28099	erykov1234	4	comment	рука
28071	28072	erykov1234	3	comment	рука
28071	28088	georg_lonsh	4	comment	рука
28071	28096	erykov1234	3	comment	рука
28071	28095	georg_lonsh	3	comment	рука
28072	28086	raskolrus	2	comment	рука
28072	28068	erykov1234	2	comment	рука
28072	28097	raskolrus	2	comment	рука
28072	28098	georg_lonsh	3	comment	рука
28072	28098	raskolrus	2	comment	рука
28072	28092	raskolrus	2	comment	рука
28072	28076	georg_lonsh	3	comment	рука
28076	28067	raskolrus	2	comment	рука
28080	28093	erykov1234	4	comment	рука
28080	28076	erykov1234	4	comment	рука
28080	28088	erykov1234	4	comment	рука
28080	28092	raskolrus	4	comment	рука
28080	28096	erykov1234	3	comment	рука
28080	28082	raskolrus	4	comment	рука
28086	28077	raskolrus	4	comment	рука
28086	28080	erykov1234	4	comment	рука
28086	28079	raskolrus	4	comment	рука
28066	28082	georg_lonsh	4	comment	рука
28066	28091	georg_lonsh	4	comment	рука
28066	28080	raskolrus	4	comment	рука
