identifier1	identifier2	annotator	judgment	comment	lemma
27921	27901	georg_lonsh	4	comment	слово
27921	27922	raskolrus	4	comment	слово
27921	27917	raskolrus	3	comment	слово
27921	27910	georg_lonsh	4	comment	слово
27921	27890	georg_lonsh	4	comment	слово
27921	27918	raskolrus	2	comment	слово
27921	27896	erykov1234	1	comment	слово
27921	27924	raskolrus	3	comment	слово
27921	27907	georg_lonsh	3	comment	слово
27908	27902	georg_lonsh	2	comment	слово
27908	27896	erykov1234	1	comment	слово
27908	27911	raskolrus	4	comment	слово
27908	27921	erykov1234	3	comment	слово
27908	27914	erykov1234	1	comment	слово
27908	27920	raskolrus	2	comment	слово
27907	27913	erykov1234	4	comment	слово
27907	27892	georg_lonsh	2	comment	слово
27907	27912	erykov1234	1	comment	слово
27894	27898	georg_lonsh	2	comment	слово
27894	27899	georg_lonsh	2	comment	слово
27894	27909	erykov1234	1	comment	слово
27909	27913	raskolrus	4	comment	слово
27909	27895	raskolrus	4	comment	слово
27909	27919	erykov1234	4	comment	слово
27909	27905	raskolrus	2	comment	слово
27909	27922	erykov1234	3	comment	слово
27909	27903	raskolrus	3	comment	слово
27909	27893	georg_lonsh	3	comment	слово
27919	27924	erykov1234	2	comment	слово
27919	27922	raskolrus	3	comment	слово
27919	27911	georg_lonsh	3	comment	слово
27919	27894	raskolrus	2	comment	слово
27919	27898	raskolrus	4	comment	слово
27919	27910	georg_lonsh	3	comment	слово
27893	27912	georg_lonsh	4	comment	слово
27893	27897	georg_lonsh	3	comment	слово
27893	27904	erykov1234	2	comment	слово
27893	27899	erykov1234	2	comment	слово
27893	27919	erykov1234	3	comment	слово
27906	27895	erykov1234	1	comment	слово
27906	27920	raskolrus	3	comment	слово
27906	27897	raskolrus	2	comment	слово
27906	27923	georg_lonsh	3	comment	слово
27906	27910	erykov1234	2	comment	слово
27906	27919	erykov1234	1	comment	слово
27911	27904	raskolrus	3	comment	слово
27911	27898	erykov1234	2	comment	слово
27911	27913	erykov1234	0	comment	слово
27911	27894	raskolrus	3	comment	слово
27911	27899	erykov1234	2	comment	слово
27897	27905	erykov1234	2	comment	слово
27897	27919	raskolrus	4	comment	слово
27897	27898	raskolrus	4	comment	слово
27897	27919	erykov1234	4	comment	слово
27897	27894	georg_lonsh	2	comment	слово
27897	27891	georg_lonsh	3	comment	слово
27901	27921	erykov1234	4	comment	слово
27901	27910	georg_lonsh	4	comment	слово
27901	27913	erykov1234	1	comment	слово
27901	27892	raskolrus	3	comment	слово
27918	27903	georg_lonsh	3	comment	слово
27918	27911	georg_lonsh	3	comment	слово
27918	27897	erykov1234	4	comment	слово
27918	27902	georg_lonsh	4	comment	слово
27918	27890	erykov1234	1	comment	слово
27918	27895	erykov1234	4	comment	слово
27918	27894	georg_lonsh	2	comment	слово
27918	27916	erykov1234	2	comment	слово
27918	27919	raskolrus	4	comment	слово
