identifier1	identifier2	annotator	judgment	comment	lemma
27688	27714	erykov1234	3	comment	сторона
27688	27700	raskolrus	2	comment	сторона
27688	27699	erykov1234	2	comment	сторона
27688	27694	georg_lonsh	4	comment	сторона
27688	27712	raskolrus	2	comment	сторона
27688	27695	georg_lonsh	2	comment	сторона
27688	27689	georg_lonsh	3	comment	сторона
27688	27682	georg_lonsh	4	comment	сторона
27688	27707	erykov1234	4	comment	сторона
27688	27705	georg_lonsh	0	comment	сторона
27688	27695	raskolrus	3	comment	сторона
27688	27713	raskolrus	2	comment	сторона
27697	27686	georg_lonsh	4	comment	сторона
27697	27711	georg_lonsh	0	comment	сторона
27697	27688	raskolrus	3	comment	сторона
27697	27685	georg_lonsh	4	comment	сторона
27697	27693	erykov1234	2	comment	сторона
27697	27703	erykov1234	2	comment	сторона
27697	27692	erykov1234	4	comment	сторона
27697	27694	raskolrus	4	comment	сторона
27697	27691	georg_lonsh	0	comment	сторона
27701	27705	georg_lonsh	0	comment	сторона
27701	27683	georg_lonsh	2	comment	сторона
27701	27683	erykov1234	1	comment	сторона
27701	27684	georg_lonsh	3	comment	сторона
27701	27706	georg_lonsh	4	comment	сторона
27701	27709	georg_lonsh	2	comment	сторона
27701	27714	erykov1234	3	comment	сторона
27701	27699	georg_lonsh	3	comment	сторона
27701	27682	georg_lonsh	0	comment	сторона
27701	27684	erykov1234	1	comment	сторона
27710	27713	raskolrus	3	comment	сторона
27710	27689	georg_lonsh	2	comment	сторона
27710	27688	raskolrus	2	comment	сторона
27710	27703	georg_lonsh	0	comment	сторона
27710	27700	georg_lonsh	0	comment	сторона
27710	27705	erykov1234	1	comment	сторона
27710	27680	erykov1234	1	comment	сторона
27704	27699	georg_lonsh	3	comment	сторона
27704	27705	georg_lonsh	3	comment	сторона
27704	27700	erykov1234	2	comment	сторона
27704	27684	georg_lonsh	2	comment	сторона
27704	27709	erykov1234	3	comment	сторона
27704	27692	erykov1234	1	comment	сторона
27704	27692	raskolrus	2	comment	сторона
27704	27709	georg_lonsh	0	comment	сторона
27704	27680	raskolrus	2	comment	сторона
