lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
сторона	NN	example	22	22_сторона_37527		Дядя Семен дергает какую-то штуку, машина идет медленнее, но ее так же треплет, толкает, бросает из стороны в сторону.	100:107	0:118	27688	sem_cluster	ru	ek.gavrishina
сторона	NN	example	22	22_сторона_48264		Он также глядел куда-то в сторону, морщил лоб и сводил брови с тем выражением, которое передается вопросом:«Что вы, собственно, от меня хотите?»	26:33	0:144	27697	sem_cluster	ru	ek.gavrishina
сторона	NN	example	22	22_сторона_127798		Огненные языки, колеблемые ветром, метались из стороны в сторону, злобно набрасываясь на все окружающее.	47:54	0:104	27701	sem_cluster	ru	ek.gavrishina
сторона	NN	example	22	22_сторона_60196		При этом важны не только масштабы производства, но и его качественная сторона, то есть эффективное управление активами компании, подготовка корпоративного менеджмента, динамика формирования акционерной прибыли, уровень капитализации.	70:77	0:233	27710	sem_cluster	ru	ek.gavrishina
сторона	NN	example	22	22_сторона_235425		Несчастные Греки выбивались изъ послѣднихъ силъ, кровь по прежнему лилась рѣкой, а звѣрствамъ и жестокостямъ со стороны Турокъ кажись не предвидѣлось конца; на руссокій престолъ въ это самое время вступишь Императоръ Николай I, который въ своей могучей силѣ, такъ сказать, и явился доблестнымъ защитникомъ и благодѣтелемъ восточныхъ христіанъ, доказавъ своими распоряженіями, на первыхъ же порахъ, что принадлежитъ къ разряду тѣхъ людей, которые, задумавъ извѣстное дѣло, непремѣнно доведутъ его до конца и никогда, ни подъ какимъ условіемъ не ограничатся одними словами, какъ это было до сихъ поръ.	112:119	0:599	27704	sem_cluster	ru	ek.gavrishina
сторона	NN	example	22	22_сторона_3251		Такая помощь, компьютера-- с одной стороны, и живых специалистов-- с другой, позволила мне в короткий срок освоить в какой-то степени технику квартетного письма и сделать программу концерта из двух отделений.	35:42	0:208	27713	sem_cluster	ru	ek.gavrishina
сторона	NN	example	22	22_сторона_122122		Когда я прямо от генерала Чебыкина вернулся в заседание, министр был поражен моим заявлением, что о роспуске Государственной Думы не может быть и речи, в особенности когда это мое мнение нашло себе полное сочувствие со стороны князя Волконского и В. А. Бальца.	219:226	0:260	27703	sem_cluster	ru	ek.gavrishina
сторона	NN	example	22	22_сторона_101965		-- Так тетка мне позвонила,-- зашептала Аллочка, испуганно оглядываясь по сторонам,-- сегодня утром и сладким таким голосом запела:«Аллочка, меня зовут Катя, я должна Верочке пятьсот долларов, а никак не могу ее найти».	74:82	0:219	27696	sem_cluster	ru	ek.gavrishina
сторона	NN	example	22	22_сторона_77201		Все заинтересованные стороны-- государство, крестьянство и дворянство-- получали определённые выгоды от этого института.	21:28	0:120	27712	sem_cluster	ru	ek.gavrishina
сторона	NN	example	22	22_сторона_91102		В вопросе встречи есть еще одна сторона.	32:39	0:40	27683	sem_cluster	ru	ek.gavrishina
сторона	NN	example	22	22_сторона_159943		Не пью, но грудь в левой стороне болит.	25:32	0:39	27707	sem_cluster	ru	ek.gavrishina
сторона	NN	example	22	22_сторона_195638		Мы живем попрежнему, ни шатко, ни валко, ни в сторону.	46:53	0:54	27682	sem_cluster	ru	ek.gavrishina
сторона	NN	example	22	22_сторона_102436		-- Он обернулся в сторону Крячко и сказал:-- Стас, проводи молодого человека и пригласи Трегубова.	18:25	0:98	27699	sem_cluster	ru	ek.gavrishina
сторона	NN	example	22	22_сторона_8218		А потом началось: воровки, конечно, селедку есть не захотели, и вот та воровка, похожая на крысу, и еще одна полезли с двух сторон к нам наверх, бедная трусишка Люся вне себя от страха, но воровки пошептались с крайними женщинами, те полезли в мешки, что-то им отдали, и воровки спустились вниз.	124:130	0:295	27689	sem_cluster	ru	ek.gavrishina
сторона	NN	example	22	22_сторона_29422		Выслав вперед и по сторонам дозоры и оставив Шмакова двигаться с тыловым охранением, Серпилин сам шел в голове колонны.	19:27	0:119	27714	sem_cluster	ru	ek.gavrishina
сторона	NN	example	22	22_сторона_147410		Наташа, поздоровавшись, хотела пройти, но отец Яков преградил ей дорогу и быстро и путано заговорил, опасливо оглядываясь по сторонам:	125:133	0:134	27706	sem_cluster	ru	ek.gavrishina
сторона	NN	example	22	22_сторона_31776		Старухи с суровыми и скорбными лицами держались не вместе, а кто где-- с какой стороны подбежала каждая и уперлась перед жаром.	79:86	0:127	27692	sem_cluster	ru	ek.gavrishina
сторона	NN	example	22	22_сторона_158055		Я поднялся и стал смотреть по сторонам.	30:38	0:39	27694	sem_cluster	ru	ek.gavrishina
сторона	NN	example	22	22_сторона_99615		По ту сторону трубки было слышно, как Паша екнул от удара по спине(это наверняка была его жена, не одобрявшая такой оптимизм мужа).	6:13	0:131	27687	sem_cluster	ru	ek.gavrishina
сторона	NN	example	22	22_сторона_179365		Так, донеся государю императору Александру о занятии Реймса, полки разошлись на пространстве от города верст до тридцати на квартиры в разные стороны.	142:149	0:150	27702	sem_cluster	ru	ek.gavrishina
сторона	NN	example	22	22_сторона_69783		Вначале мы ехали молча, глядя, как казачья охрана гарцует по обе стороны фаэтона.	65:72	0:81	27708	sem_cluster	ru	ek.gavrishina
сторона	NN	example	22	22_сторона_202473		С этого же времени я стала замечать в нем перемену и заподозрила его в интриге на стороне.	82:89	0:90	27711	sem_cluster	ru	ek.gavrishina
