lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
человек	NN	example	22	22_человек_534510		Прямо из Зимнего дворца фельдмаршал Миних с сорока избранными людьми направился в Летний дворец, но, не доходя до него, послал Манштейна к караулу дворца, заявить караульным офицерам, чтобы они вышли для получения известий чрезвычайной важности.	184:189	0:245	29535	sem_cluster_extra	ru	ek.gavrishina
человек	NN	example	22	22_человек_810505		Рукою крепкою избавил еси люди, яже стяжа, человеколюбче.	43:56	0:57	29537	sem_cluster_extra	ru	ek.gavrishina
человек	NN	example	22	22_человек_520437		Что«коллективизация» не родит нового человека, не принесет ни счастья, ни благополучия человечеству, у нас совершенно не вызывает сомнения, но что она уже и сейчас принесла величайшую беду и непоправимое зло для калмыцкого народа-- факт абсолютно бесспорный, не подлежащий никакому сомнению.	37:45	0:291	29532	sem_cluster_extra	ru	ek.gavrishina
человек	NN	example	22	22_человек_769754		-- Я давно это угадывал,-- сказал этот получивший христианские правила молодой человек, нимало не смутившись моим рассказом.	79:86	0:124	29555	sem_cluster_extra	ru	ek.gavrishina
человек	NN	example	22	22_человек_380247		Напуганные люди спешили на воздух, словно порция свежего кислорода-- единственное, что могло уберечь их в случае новых толчков.	83:86	0:127	29550	sem_cluster_extra	ru	ek.gavrishina
человек	NN	example	22	22_человек_438427		-- С утра, говорят, человек пять приезжало, а сегодня штой-то не слыхать...	20:27	0:75	29554	sem_cluster_extra	ru	ek.gavrishina
человек	NN	example	22	22_человек_718998		Мы все выросли на целой куче предрассудков относительно государства, играющего роль Провидения в отношениях людей между собою.	0:0	0:126	29556	sem_cluster_extra	ru	ek.gavrishina
человек	NN	example	22	22_человек_319035		И театральный режиссер, актер, пианист, дирижер только тогда подлинный художник, когда он чуток к тому, что созвучно в классическом произведении психологии и духовной жизни современного ему человека, когда он находит это и интерпретирует через образы искусства другого времени, превращая его в произведение сегодняшнего дня.	190:198	0:324	29557	sem_cluster_extra	ru	ek.gavrishina
человек	NN	example	22	22_человек_206914		...О долговечности конструкций Ткач упомянул не случайно: за последние полвека инженеры научились бороться с глобальными проблемами в мостостроении-- теперь навряд ли повторится тахомская катастрофа, когда огромный мост в американском городе Тахома по каким-то неведомым законам резонансности был буквально скручен спиралью и сотни машин, людей посыпались с него гроздями, погибая в воде и под обломками сооружения(тем, кто постарше, памятны леденящие душу кадры кинохроники, запечатлевшей эту катастрофу 60-х годов).	0:0	0:517	29545	sem_cluster_extra	ru	ek.gavrishina
человек	NN	example	22	22_человек_812096		Онъ населенъ дворовыми крестьянами, между которыми земледѣльцовъ очень мало, а большая часть люди ремесленные, какъ то мѣдники, иконописцы, набойщики и серебряки.	87:92	0:162	29549	sem_cluster_extra	ru	ek.gavrishina
человек	NN	example	22	22_человек_712364		Сначала присылали ему хлебца, круп, того-другого, да как узнали, что он все чужим людям раздает, так и полно!	65:68	0:109	29530	sem_cluster_extra	ru	ek.gavrishina
человек	NN	example	22	22_человек_27291		Пришло начальство с вооруженными людьми, и начался обыск.	0:0	0:57	29536	sem_cluster_extra	ru	ek.gavrishina
человек	NN	example	22	22_человек_210033		Вот Николай Уткин, очень уважаемый человек, говорит:«Не могу выйти вечером пойти в кафе попить пива».	35:42	0:101	29548	sem_cluster_extra	ru	ek.gavrishina
человек	NN	example	22	22_человек_380179		Это был настолько мой человек, что больше и не надо.	22:29	0:52	29542	sem_cluster_extra	ru	ek.gavrishina
человек	NN	example	22	22_человек_572001		Преудивительная личность содержатель трактира на Зимняке Алексей Никитич Ремизов: о нем нет пересудов в городе, единогласно весь край от Углича до Сергиева и от Переславля до Дмитрова и до Кимр и дальше по верховьям Волги до Рыбинска, скажет:--«первый человек Алексей Никитич!	252:259	0:276	29551	sem_cluster_extra	ru	ek.gavrishina
человек	NN	example	22	22_человек_543212		Оттого я и говорю: ради своего будущего, ради Марины, ради своих стихов-- уезжай до осени, один, побродить, пошататься, увидеть новых людей.	0:0	0:140	29525	sem_cluster_extra	ru	ek.gavrishina
человек	NN	example	22	22_человек_687507		Ну, сначала было все хорошо, очень были рады, что выходит замуж, а после на меня же была претензия; Василий Петрович часто говаривал:«Бог с вами, сестрица, спровадили от нас Лизу за тридевять земель, жила бы лучше поближе к нам; зять-- человек неизвестный, бог знает как и живет».	236:243	0:280	29528	sem_cluster_extra	ru	ek.gavrishina
человек	NN	example	22	22_человек_804007		Впрочем, он это делал не из дурных побуждений,-- он честный человек,-- а по легкомыслию и недостатку твердости, которые часто повергают его в противоречия с самим собой.	60:67	0:169	29547	sem_cluster_extra	ru	ek.gavrishina
