identifier1	identifier2	judgment	comment	annotator	lemma
22_бог_23785	22_бог_52488	3.0	comment	georg_lonsh	бог
22_бог_23785	22_бог_23746	4.0	comment	georg_lonsh	бог
22_бог_23785	22_бог_28830	2.0	comment	raskolrus	бог
22_бог_23785	22_бог_19635	3.0	comment	georg_lonsh	бог
22_бог_23785	22_бог_44503	2.0	comment	raskolrus	бог
22_бог_23785	22_бог_16754	4.0	comment	erykov1234	бог
22_бог_23785	22_бог_52488	2.0	comment	raskolrus	бог
22_бог_23785	22_бог_284	3.0	comment	erykov1234	бог
22_бог_23785	22_бог_45414	3.0	comment	erykov1234	бог
22_бог_23785	22_бог_7613	3.0	comment	georg_lonsh	бог
22_бог_23785	22_бог_7063	2.0	comment	raskolrus	бог
22_бог_63941	22_бог_64791	4.0	comment	raskolrus	бог
22_бог_63941	22_бог_60128	3.0	comment	erykov1234	бог
22_бог_63941	22_бог_28830	4.0	comment	erykov1234	бог
22_бог_63941	22_бог_61740	3.0	comment	georg_lonsh	бог
22_бог_16754	22_бог_29561	2.0	comment	raskolrus	бог
22_бог_16754	22_бог_64791	4.0	comment	raskolrus	бог
22_бог_16754	22_бог_42594	3.0	comment	erykov1234	бог
22_бог_16754	22_бог_28830	4.0	comment	georg_lonsh	бог
22_бог_16754	22_бог_284	4.0	comment	raskolrus	бог
22_бог_16754	22_бог_34594	3.0	comment	erykov1234	бог
22_бог_6152	22_бог_60128	4.0	comment	raskolrus	бог
22_бог_6152	22_бог_33857	3.0	comment	erykov1234	бог
22_бог_6152	22_бог_57370	3.0	comment	georg_lonsh	бог
22_бог_6152	22_бог_28735	2.0	comment	raskolrus	бог
22_бог_6152	22_бог_39382	3.0	comment	erykov1234	бог
22_бог_6152	22_бог_39382	4.0	comment	georg_lonsh	бог
22_бог_6152	22_бог_19576	3.0	comment	georg_lonsh	бог
22_бог_42594	22_бог_29561	2.0	comment	erykov1234	бог
22_бог_42594	22_бог_61740	4.0	comment	raskolrus	бог
22_бог_42594	22_бог_39382	3.0	comment	erykov1234	бог
22_бог_42594	22_бог_29554	0.0	comment	erykov1234	бог
22_бог_42594	22_бог_7613	3.0	comment	georg_lonsh	бог
22_бог_42594	22_бог_64791	4.0	comment	raskolrus	бог
22_бог_42594	22_бог_57426	3.0	comment	erykov1234	бог
22_бог_42594	22_бог_52488	4.0	comment	erykov1234	бог
22_бог_28735	22_бог_54290	4.0	comment	georg_lonsh	бог
22_бог_28735	22_бог_57426	4.0	comment	erykov1234	бог
22_бог_28735	22_бог_21320	3.0	comment	georg_lonsh	бог
22_бог_28735	22_бог_57370	3.0	comment	erykov1234	бог
22_бог_28735	22_бог_61714	4.0	comment	erykov1234	бог
22_бог_34594	22_бог_57370	2.0	comment	raskolrus	бог
22_бог_34594	22_бог_54290	3.0	comment	georg_lonsh	бог
22_бог_34594	22_бог_42594	2.0	comment	raskolrus	бог
22_бог_34594	22_бог_63741	3.0	comment	raskolrus	бог
22_бог_38133	22_бог_61740	4.0	comment	erykov1234	бог
22_бог_38133	22_бог_19576	2.0	comment	raskolrus	бог
22_бог_38133	22_бог_7613	4.0	comment	raskolrus	бог
22_бог_38133	22_бог_16754	3.0	comment	erykov1234	бог
22_бог_38133	22_бог_54290	3.0	comment	erykov1234	бог
22_бог_5626	22_бог_6152	4.0	comment	raskolrus	бог
22_бог_5626	22_бог_44503	4.0	comment	raskolrus	бог
22_бог_5626	22_бог_63941	4.0	comment	georg_lonsh	бог
22_бог_5626	22_бог_52488	3.0	comment	erykov1234	бог
22_бог_5626	22_бог_57426	3.0	comment	georg_lonsh	бог
22_бог_5626	22_бог_33857	3.0	comment	erykov1234	бог
22_бог_5626	22_бог_23746	3.0	comment	erykov1234	бог
22_бог_5626	22_бог_57426	3.0	comment	erykov1234	бог
22_бог_39382	22_бог_34594	4.0	comment	erykov1234	бог
22_бог_39382	22_бог_284	3.0	comment	raskolrus	бог
22_бог_39382	22_бог_16754	3.0	comment	georg_lonsh	бог
22_бог_39382	22_бог_38133	2.0	comment	raskolrus	бог
22_бог_57426	22_бог_61714	3.0	comment	raskolrus	бог
22_бог_57426	22_бог_6152	3.0	comment	raskolrus	бог
22_бог_57426	22_бог_9855	3.0	comment	raskolrus	бог
22_бог_57426	22_бог_28830	4.0	comment	georg_lonsh	бог
22_бог_60128	22_бог_19635	3.0	comment	georg_lonsh	бог
22_бог_60128	22_бог_64791	3.0	comment	georg_lonsh	бог
22_бог_60128	22_бог_63928	3.0	comment	georg_lonsh	бог
22_бог_60128	22_бог_63741	3.0	comment	georg_lonsh	бог
22_бог_60128	22_бог_9855	4.0	comment	raskolrus	бог
22_бог_60128	22_бог_23785	3.0	comment	georg_lonsh	бог
22_бог_60128	22_бог_29561	2.0	comment	georg_lonsh	бог
22_бог_23746	22_бог_61714	4.0	comment	georg_lonsh	бог
22_бог_23746	22_бог_60128	2.0	comment	raskolrus	бог
22_бог_23746	22_бог_63941	3.0	comment	georg_lonsh	бог
22_бог_23746	22_бог_45414	4.0	comment	georg_lonsh	бог
22_бог_284	22_бог_61714	4.0	comment	raskolrus	бог
22_бог_284	22_бог_21669	2.0	comment	raskolrus	бог
22_бог_284	22_бог_52488	3.0	comment	erykov1234	бог
22_бог_21320	22_бог_52488	3.0	comment	georg_lonsh	бог
22_бог_21320	22_бог_28735	4.0	comment	raskolrus	бог
22_бог_21320	22_бог_284	3.0	comment	erykov1234	бог
22_бог_21320	22_бог_7063	3.0	comment	georg_lonsh	бог
22_бог_21320	22_бог_57370	3.0	comment	erykov1234	бог
22_бог_19576	22_бог_61714	2.0	comment	raskolrus	бог
22_бог_19576	22_бог_63928	3.0	comment	georg_lonsh	бог
22_бог_19576	22_бог_284	3.0	comment	raskolrus	бог
22_бог_19576	22_бог_42594	3.0	comment	erykov1234	бог
22_бог_33857	22_бог_28830	3.0	comment	erykov1234	бог
22_бог_33857	22_бог_61714	2.0	comment	raskolrus	бог
22_бог_33857	22_бог_42594	3.0	comment	georg_lonsh	бог
22_бог_33857	22_бог_45414	4.0	comment	georg_lonsh	бог
22_бог_33857	22_бог_23746	3.0	comment	raskolrus	бог
22_бог_33857	22_бог_64791	3.0	comment	raskolrus	бог
22_бог_33857	22_бог_6152	3.0	comment	georg_lonsh	бог
22_бог_64791	22_бог_9855	3.0	comment	georg_lonsh	бог
22_бог_64791	22_бог_63741	4.0	comment	georg_lonsh	бог
22_бог_64791	22_бог_61714	4.0	comment	georg_lonsh	бог
22_бог_64791	22_бог_61740	4.0	comment	erykov1234	бог
22_бог_64791	22_бог_21320	4.0	comment	erykov1234	бог
22_бог_64791	22_бог_23746	4.0	comment	erykov1234	бог
22_бог_29554	22_бог_42594	0.0	comment	raskolrus	бог
22_бог_29554	22_бог_61714	0.0	comment	raskolrus	бог
22_бог_29554	22_бог_21669	3.0	comment	erykov1234	бог
22_бог_29554	22_бог_29561	2.0	comment	erykov1234	бог
22_бог_29554	22_бог_64791	3.0	comment	georg_lonsh	бог
22_бог_29554	22_бог_60128	4.0	comment	georg_lonsh	бог
22_бог_29554	22_бог_54290	0.0	comment	raskolrus	бог
22_бог_29554	22_бог_57370	0.0	comment	raskolrus	бог
22_бог_29554	22_бог_23746	0.0	comment	raskolrus	бог
22_бог_52488	22_бог_63941	3.0	comment	erykov1234	бог
22_бог_52488	22_бог_64791	4.0	comment	georg_lonsh	бог
22_бог_52488	22_бог_28830	3.0	comment	georg_lonsh	бог
22_бог_52488	22_бог_9855	3.0	comment	erykov1234	бог
22_бог_54290	22_бог_63741	3.0	comment	erykov1234	бог
22_бог_54290	22_бог_6152	4.0	comment	raskolrus	бог
22_бог_54290	22_бог_61714	3.0	comment	georg_lonsh	бог
22_бог_54290	22_бог_61740	4.0	comment	raskolrus	бог
22_бог_54290	22_бог_9855	4.0	comment	georg_lonsh	бог
22_бог_54290	22_бог_29561	2.0	comment	georg_lonsh	бог
