	word	context	positions	gold_sense_id	predict_sense_id
0	жена	В стране, где жена, любовница и просто женщина обозначаются одним словом«жинка», именно такое и должно случиться.	14-18	0	
1	жена	Этим он обязан Евгении Степановне-- жене отца, ставшей для него второй матерью.	36-40	0	
2	жена	Закрыв глаза, он вспоминал жену-- маленькую, стройную, её волосы причёсаны гладко, заплетены в косу и образуют на затылке пышный золотистый узел.	27-31	0	
3	жена	Надо всем этим, конечно, преобладала мысль, что всякий человек должен иметь жену, которая бы его любила, и что любви к нему Миропе Дмитриевне было не занимать стать, но, как ни являлось все это ясным, червячок сомнения шевелился еще в уме Аггея Никитича.	76-80	0	
4	жена	-- Петя, я тебе говорю, замолчи,-- крикнул граф, оглядываясь на жену, которая, побледнев, смотрела остановившимися глазами на меньшого сына.	64-68	0	
5	жена	Только теперь догадался Коравье, что жене пришла пора родить…	37-41	0	
6	жена	-- Отвяжись ты, нечистая сила!-- рявкнул он со злобой на жену, когда та спросила, отчего он такой хмурый.	57-61	0	
7	жена	Так случилось, что, будучи всем сердцем привязан к своей жене и маленькому сыну, я обрел и вторую семью.	57-61	0	
8	жена	Николай Г. тесно сроднился с жизнью на улице и в кабаке, а его жена— энергичная и трудолюбивая женщина, и, быть может, ей удастся найти себе заработок и в ссылке».	63-67	0	
9	жена	Многие из них даже не просили милостыни, другие протягивали руку, жалуясь, что им нечем кормить больную жену и многочисленных детей.	104-108	0	
10	жена	Пущай оба друг друга похищают,-- добродушно машет рукой отец семейства и отводит жену и сына к другой картине.	81-85	0	
11	жена	Находясь под влиянием нахлынувших мыслей и сейчас происшедшей сцены прощания с его женою, я высказал ему то, чего не решался сказать ей.	83-88	0	
12	жена	Жена его, боярыня Варвара, хотя и вела обычную теремную жизнь и проводила большую часть за вышиванием церковных воздухов и пелен среди многочисленных девушек-прислужниц, проявляла свои душевные качества в заботах о дворовой челяди, в широкой благотворительной деятельности.	0-4	0	
13	жена	Михей Зотыч сейчас же сообразил, что Симон находится в полном рабстве у старой жены, и захотел ее проучить.	79-83	0	
14	жена	Потом останавливался перед наклеенной на стену картинкой из старого журнала: на картинке был изображен какой-то посланник в цилиндре и его жена, красавица с удивленно поднятыми бровями; тыча им в глаза вилкой, вахмистр выкрикивал все газетные ругательства о буржуях, которые мог припомнить, и стонал:«Ах, горе, горе...»	139-143	0	
15	жена	Я и жена Якира почему-то были арестованы двумя неделями позже.	4-8	0	
16	жена	Она любила своих подруг, своих наставниц, страстно любила своего отца, и, конечно, если бы судьба послала ей доброго мужа, она сделалась бы доброй женой и нежной матерью, и вся бы жизнь ее протекла в выполнении этого чувства любви, как бы единственной нравственной силы, которая дана была ей с избытком от природы.	147-152	0	
17	жена	Наконец видел я и Прошку и убедился, что и этот кремешок сломило-таки железное упорство кроткой Сониной натуры, что он уже понимает свое скотство и ему стыдно жены.	159-163	0	
18	жена	Высокая и плотная, Парасковья Ивановна сохранилась не по годам и держалась в сторонке от жен других заводских служащих.	89-92	0	
19	жена	Мы его привезли в Старый Оскол-- вот твоя жена.	42-46	0	
20	жена	Жена-то, вероятно, на самом деле его попросту доит...	0-4	0	
21	жена	Помните, лифтерша Марья Ивановна рассказывала, что он привез своей жене из Берлина голубой вязаный костюм?	67-71	0	
22	жена	В силу особенности своего характера свято верить в непогрешимость всех своих выдумок, он дошел под конец до идеи полагать все счастье моей жены в том, чтобы она, как можно скорее уверившись в моей измене, бросила меня и перешла к нему.	139-143	0	
23	жена	Черта с два я твоя жена!	19-23	0	
24	жена	Около картины«Похищение Европы» остановились муж и жена.	51-55	0	
25	жена	В Европе женщина большею частию разделяет труды мужчины; испанец, напротив, любит, чтоб жена его держала себя знатной дамой, не заботясь ни о чем.	88-92	0	
26	жена	-- И она была бы для него доброй женой, конечно насколько вообще жены могут быть добрыми?	65-69	0	
27	жена	Поэтому жена-- предмет его постоянных удивлений, раздумий, постоянный сюжет его афоризмов.	8-12	0	
28	жена	Даже протоколы совета, относящиеся к этому времени, переполнены множеством дел по таким жалобам, где были выведены на сцену жены, дочери, кухарки профессоров и явились в разоблачении самые сокровенные семейные дела.	124-128	0	
29	жена	Но влияние ли его разнохарактерного родства или что другое сделало, что он пятнадцать лет тому назад ушел сначала в католичество, потом в протестанство; в это-то время служения, когда он не по годам бросал одну-- жену Веру, уже с ребенком от него,-- произошло и то, что ныне он выставляет против нее; молодая женщина, заброшенная мужем, согрешить могла; но и он же-- поспешил жениться по-язычески на другой, нынешней его жене.	213-217	0	
30	жена	Павел не обратил сначала внимания на слезы и уход жены; но, выспавшись, ему, видно, сделалось совестно своих слов: он спрашивал у людей, что делает жена.	148-152	0	
31	жена	Запрятывая в карман фрака бумажку, на которой заслуги Помпония, после долгих усилий воображения, возведены в n-ю степень, будущий оратор сообщает жене и всем встречным:	146-150	0	
32	жена	И вот в эти моменты-- а они случаются постоянно в нашей среде, в среде всего человечества-- мы должны подумать о женах-мироносицах, подумать об Иосифе Аримафейском, о Никодиме, и как скала твердая стоять, поддерживая друг друга.	113-118	1	
33	жена	Жена откачнулась от ящика, посмотрела на Алешу...	0-4	0	
34	жена	Нехлюдов хотел уйти, но жена адвоката пошепталась с мужем и тотчас же обратилась к нему:	24-28	0	
35	время	На основе этой схемы в настоящее время Росстат публикует показатели развития информационного общества на своем сайте.	33-38	1	
36	время	ПЦР является практически единственным методом, реализующим прямую детекцию хантавирусов, в то время как большинство других методов могут лишь косвенно регистрировать наличие вируса в исследуемых образцах.	94-99	1	
37	время	Одно время выражал он мне желание ввести меня в свой тесный домашний круг; но так как он жил в разводе с своею женою и его домашний быт олицетворяла собою личность, бывшая его любовницею и теперь еще находившаяся в двусмысленных к нему отношениях, то я счел неприличным отвечать согласием на подобное предложение.	5-10	0	
38	время	Этот Ларош, наделенный от природы гениальным талантом и умом, но совершенно лишенный характера, силы воли, до того в последнее время опустился, что, встретив его в мае в Петербурге, я был в совершенном отчаянии за него.	127-132	0	
39	время	Первая«игра песен», которую довелось наблюдать, были«вечерковые» или, по времени года, святочные.	73-80	3	
40	время	Но к этому времени я, к счастью, был уже достаточно опытным юристом.	11-18	0	
41	время	На кой черт ради сегодняшнего дня, ради нынешнего времени вставать-то?&quot;	50-57	0	
42	время	Во время ужина, въ столовую вошелъ вѣрный мой Аѳанасьичъ.	3-8	1	
43	время	Через какое-то время, наверное, лет через десять, мне удалось проездом побывать в Морозове.	15-20	2	
44	время	Тогда, в первые времена воображаемого договора между Митей и государством, прообразом которого я, не без доли насмешки, называла Лаванову службу Иакова, эти разговоры носили предварительный, отчасти репетиционный характер.	16-23	2	
45	время	Речь шла, как выяснилось, о женщине, которая уже некоторое время вела домашнее хозяйство в«квартире-музее».	59-64	0	
46	время	...Сераковский был уже раненый вздернут на виселицу, часть молодых людей, бывших в то же время в Лондоне, вышла в отставку, рассеялась...	89-94	1	
47	время	Но наши диспетчеры знают о подобных случайных отключениях, и есть специальная автоматика, которая пытается ввести отключенную линию через некоторое время: а вдруг заработает.	148-153	0	
48	время	Впослѣдствіи, во время нѣмецкой оккупаціи части Россіи и открытія тамъ храмовъ для богослуженій, Ладоміровское Братство, уже подъ руководствомъ Архимандрита Серафима, смѣнившаго Архимандрита Виталія послѣ его архіерейскаго назначенія, организовало печатаніе и широкое снабженіе богослужебными книгами и миссіонерской литературой освободившейся отъ власти большевиковъ части Россіи.	17-22	0	
49	время	И, действительно, он так устроил мать, что она, по крайней мере на время, была избавлена от нужды.	67-72	2	
50	время	Рассказывая, он все время оглядывался по сторонам, словно опасаясь кого-то.	20-25	4	
51	время	Во время последних европейских возмущений и всякого рода смут некоторые из злоумышленников старались особенно распустить в нашем дворянстве слух, будто правительство ищет обессилить их значение и довести их до ничтожества.	3-8	0	
52	время	Дорогой мой Фет! я получил твое письмо, которое ты написал мне из Степановки, и в то же время Тургенев прочел мне твое письмо к нему.	88-93	0	
53	время	Принимая во внимание, что окончательное совещание присяжных продолжалось, как видно из протокола, 35 минут, а процедура обсуждения ходатайства о постановке вопроса по 96 статье Уложения судом и присяжными заняла 2 часа и 10 минут, нельзя не признать, что совещание присяжных, занявшее некоторую часть этого времени, было именно тем преждевременным обсуждением имеющих последовать ответов, которое существенно нарушает законную хронологию судебного рассмотрения дела.	307-314	0	
54	время	В это время отворилась дверь, вошла пани Мачоха и объявила с изумлением, что у ворот стучится какой-то бородатый татарин и требует непременно, чтобы его впустили к Богдане.	6-11	1	
55	время	Тем временем на околоземной орбите становится все больше космических аппаратов.	46-49	2	
56	время	И в то же время не хотел отпустить меня без того, чтобы не сказать хоть что-нибудь.	10-15	1	
57	время	Мне было не более четырех лет и маме пришлось поэтому меня во время всего спектакля держать в стоячем положении на своих коленях-- иначе я бы ничего не увидал через головы сидевших перед нами.	62-67	0	
58	время	А из Армении, где с начала IV века тоже существовала Церковь, не приехали, потому что в это время персы воевали с Константинополем, делили между собой Армянское царство,_-- словом по причинам чисто политическим армяне приехать не могли, их епископы на этом Соборе не были и в обсуждении богословских вопросов участия не принимали.	92-97	1	
59	время	Лучшее же время-- начало августа или даже последняя треть июля месяцев упущены зря; а ведь тогда не только состояние погоды лучше, но и самые травы достигают своего полного расцвета, сочности и пышности.	10-15	1	
