lemma	loss	loss_normalized	conflicts	conflicts_normalized	conflicts_between_clusters	conflicts_within_clusters	win_min_normalized	win_max_normalized	win_min_max_normalized	uncompared_cluster_combinations	uncompared_multi_cluster_combinations	runtime	judgments_per_edge	edgeshares	excluded_nodes	nodes	judgments_annotator0	judgments_annotator1	judgments_annotator2	judgments_total	judgment_0	judgment_1	judgment_2	judgment_3	judgment_4
бог	11.5	0.045364891518737675	21	0.1242603550295858	8	13	1.0	0.9811320754716981	0.9814814814814815	1	0	0.32795939842859906	1.0769230769230769	1=0.93,2=0.07,3=0.01	0	34	60	60	62	182	0	1	35	88	58
время	34.5	0.11442786069651742	54	0.26865671641791045	47	7	0.9714285714285714	0.7741935483870968	0.8787878787878788	1	1	0.3726842204729716	1.0792079207920793	1=0.93,2=0.07,3=0.00	0	35	64	61	93	218	1	40	63	79	35
год	28.5	0.11728395061728394	37	0.22839506172839505	30	7	0.9117647058823529	0.8596491228070176	0.8791208791208791	0	0	0.24479717016220093	1.1397849462365592	1=0.87,2=0.12,3=0.01	0	33	70	81	61	212	31	37	14	58	72
голова	12.0	0.047337278106508875	26	0.15384615384615385	22	4	1.0	1.0	1.0	1	0	0.3332743763923645	1.0988372093023255	1=0.91,2=0.09,3=0.01	0	35	64	64	61	189	4	17	65	36	67
город	4.0	0.017204301075268817	8	0.05161290322580645	3	5	0.5	1.0	0.9921259842519685	0	0	0.3009557763735453	1.1555555555555554	1=0.85,2=0.14,3=0.01	0	32	62	84	62	208	34	4	4	22	144
государство	31.0	0.1141804788213628	32	0.17679558011049723	10	22	0.3333333333333333	0.9382716049382716	0.84375	1	0	0.34962427616119385	1.0994764397905759	1=0.90,2=0.10	0	35	78	72	60	210	14	18	18	66	94
дело	38.0	0.04564564564564565	88	0.15855855855855855	83	5	1.0	0.8666666666666667	0.9917695473251029	0	0	0.615112841129303	1.453151618398637	1=0.58,2=0.38,3=0.04	0	35	578	60	215	853	135	333	194	155	36
день	26.0	0.08414239482200647	46	0.22330097087378642	26	20	0.875	0.9148936170212766	0.9090909090909091	0	0	0.3396003047625224	1.2258064516129032	1=0.79,2=0.20,3=0.01	0	32	92	84	90	266	13	17	82	91	63
друг	20.0	0.07532956685499058	16	0.0903954802259887	2	14	0.6756756756756757	1.0	0.90625	2	0	0.34338486989339195	1.1016949152542372	1=0.90,2=0.09,3=0.01	0	34	72	61	62	195	0	42	36	16	101
жена	2.0	0.007889546351084813	4	0.023668639053254437	0	4	1.0	1.0	1.0	0	0	0.32508418560028074	1.0977011494252873	1=0.91,2=0.09,3=0.01	0	35	69	61	61	191	6	5	14	19	147
женщина	1.5	0.0055248618784530384	3	0.016574585635359115	0	3	nan	1.0	1.0	0	0	0.026636091868082683	1.0939226519337018	1=0.91,2=0.08,3=0.01	0	35	72	61	65	198	0	0	4	51	143
жизнь	20.0	0.081799591002045	32	0.19631901840490798	22	10	0.8181818181818182	0.9459459459459459	0.9166666666666666	2	0	0.32075037956237795	1.1216931216931216	1=0.88,2=0.11,3=0.01	0	35	69	83	60	212	31	12	38	89	42
лицо	13.0	0.04980842911877394	23	0.13218390804597702	21	2	1.0	0.9696969696969697	0.9791666666666666	0	0	0.24819788535435994	1.094972067039106	1=0.91,2=0.08,3=0.01	0	35	75	60	61	196	6	39	36	45	70
место	29.0	0.08157524613220815	62	0.2616033755274262	43	19	0.6666666666666666	0.975	0.9347826086956522	0	0	0.353650176525116	1.161825726141079	1=0.84,2=0.15,3=0.00	0	35	100	97	83	280	5	8	101	117	49
мир	34.0	0.08819714656290532	58	0.22568093385214008	20	38	0.9459459459459459	0.9148936170212766	0.9285714285714286	0	0	0.28494100173314413	1.2074074074074075	1=0.80,2=0.19,3=0.01	0	34	112	105	109	326	20	63	88	95	60
ночь	2.5	0.00980392156862745	5	0.029411764705882353	0	5	nan	1.0	1.0	0	0	0.026650901635487875	1.1229050279329609	1=0.88,2=0.12	0	35	75	60	66	201	16	0	5	55	125
работа	21.5	0.09014675052410902	42	0.2641509433962264	36	6	1.0	0.9333333333333333	0.9459459459459459	1	0	0.3285329262415568	1.1363636363636365	1=0.87,2=0.12,3=0.01	0	35	73	67	60	200	19	12	49	84	36
результат	14.5	0.05930470347648262	27	0.1656441717791411	6	21	0.75	1.0	0.9855072463768116	0	0	0.08744432926177978	1.111731843575419	1=0.89,2=0.11	0	35	60	78	61	199	18	6	28	69	78
рука	4.0	0.014732965009208104	10	0.055248618784530384	8	2	nan	1.0	1.0	1	0	0.3521026651064555	1.1092896174863387	1=0.89,2=0.11	0	35	71	62	70	203	2	0	15	55	131
сила	25.5	0.08095238095238096	42	0.2	35	7	0.95	0.90625	0.9305555555555556	0	0	0.307494060198466	1.2062780269058295	1=0.82,2=0.16,3=0.02	0	35	84	99	86	269	16	63	74	72	44
слово	26.0	0.10077519379844961	49	0.28488372093023256	41	8	0.95	0.9705882352941176	0.9629629629629629	0	0	0.32794274886449176	1.0571428571428572	1=0.94,2=0.06	0	35	64	60	61	185	3	21	34	88	39
сторона	17.0	0.050595238095238096	32	0.14285714285714285	19	13	0.9	1.0	0.9710144927536232	0	0	0.3183722456296285	1.2236286919831223	1=0.80,2=0.17,3=0.03	0	35	93	102	95	290	21	35	92	76	66
тысяча	25.0	0.10040160642570281	34	0.20481927710843373	21	13	0.9090909090909091	0.9014084507042254	0.9024390243902439	0	0	0.22273446718851725	1.0963855421686748	1=0.92,2=0.07,3=0.01	0	35	62	60	60	182	0	14	38	50	80
человек	15.5	0.06224899598393574	20	0.12048192771084337	7	13	0.5	0.9634146341463414	0.9318181818181818	0	0	0.3272375742594401	1.1024096385542168	1=0.90,2=0.10	0	35	61	61	61	183	1	8	22	58	94
