data	avg_judgment_no	kri_full	kri_annotator2,mean_others	kri_annotator1,mean_others	kri_annotator1,annotator2	kri_annotator0,mean_others	kri_annotator0,annotator2	kri_annotator0,annotator1	kri2_full	kri2_annotator1,annotator2	kri2_annotator0,annotator2	kri2_annotator0,annotator1	spr_mean_weighted	spr_mean	spr_annotator2,mean_others	spr_annotator1,mean_others	spr_annotator1,annotator2	spr_annotator0,mean_others	spr_annotator0,annotator2	spr_annotator0,annotator1	overlap_annotator1,annotator2	overlap_annotator0,annotator2	overlap_annotator0,annotator1	judgments_annotator0	judgments_annotator1	judgments_annotator2	judgments_total	judgment_1.0	judgment_2.0	judgment_3.0	judgment_4.0	judgment_0.0
full	1.170150420003907	0.41325726427845244	0.526560464565717	0.386525567599726	0.6040719968166609	0.32172063072210655	0.37454890695306475	0.21305228508323582	0.3996585339845432	0.6967222189202603	0.29922330414554876	0.18916756057359096	0.5612643442635675	0.5691612436925494	0.5674549288185765	0.5406837247835317	0.6421070134535742	0.5238774317118408	0.5484739182155425	0.5169027994085317	178	310	235	2331	1785	1874	5990	799	1152	1645	1885	509
бог	1.0782122905027933	0.38380861244019127	0.4375	0.3217404396266186	0.375	0.37316176470588236	0.4983333333333334	0.0	0.6531442145439268	0.5361036890377682	0.6547381617189798	0.8575240755934912	0.4834047254530909	0.4927992798267444	0.5	0.32732683535398854	0.408248290463863	0.5135525910130955	0.5773502691896257	nan	5	4	5	63	62	68	193	1	36	90	59	7
время	1.0792079207920793	0.1395952626524879	0.19761844969027276	-0.053694374475230955	0.005102040816326592	0.12130141190914667	-0.20039682539682557	0.14833333333333332	0.28556658266948	0.44397825054090245	-0.031175557078569893	0.08337641728686684	0.1981362696944579	0.19989989776816622	0.21199957600127198	0.13046561461068845	0.24152294576982397	0.33838168464348733	0.12247448713915891	0.23570226039551584	7	6	4	64	61	93	218	40	63	79	35	1
год	1.144927536231884	0.1629470862058806	0.47579887218045114	0.12243062692702988	0.6190476190476191	-0.05511482254697264	0.5211009174311927	-0.09484454939000408	0.23461630521510246	0.7220225199394184	0.5282150065145457	-0.3032474721173892	0.3010051805809867	0.28033015885005846	0.46709936649691375	0.08223919396586149	0.6123724356957946	-0.13041013273932522	0.3952847075210474	-0.16666666666666666	9	5	7	78	90	69	237	37	14	58	72	56
голова	1.0988372093023255	0.49124118778038883	0.5973863229502328	0.3628626692456479	-0.2333333333333334	0.5843834125665845	0.802	0.46091445427728617	0.3934087574465819	0.34252666305771395	0.7481028355625231	0.3616979019701142	0.7697313155807844	0.8015401186017828	0.6627334956636112	0.6223407746139281	nan	0.794340210047563	0.9128709291752769	0.6902093080282886	3	5	9	64	64	61	189	17	65	36	67	4
город	1.162162162162162	-0.05868725868725866	-0.08653846153846145	nan	nan	-0.09469696969696972	-0.1785714285714286	nan	0.630983148424852	1.0	-0.011780542648981651	1.0	0.0	nan	nan	nan	nan	nan	nan	nan	7	7	6	82	96	80	258	5	5	23	151	74
государство	1.0994764397905759	-0.18645889792231252	0.08686823104693142	-0.41742252456538154	0.0	-0.20430107526881702	0.10689890710382521	-0.46250000000000013	-0.11371555570990832	0.6516295649505741	0.17058496455548566	-0.6919185973271467	-0.15997372793023107	-0.25497865394331276	0.05196746370519362	-0.5635535401295892	nan	-0.20597146021777485	0.15670935878004125	-0.6666666666666667	2	8	5	78	72	60	210	18	18	66	94	14
дело	1.453151618398637	-0.23356663367547714	-0.05485480087773831	-0.5168994993068003	0.30619909502262443	-0.266605143809594	-0.1437244254182397	-0.5417267194636306	-0.20938943048097491	0.6089854598898983	-0.06149643726502818	-0.6096773819160721	0.47109282027151883	0.4694702752815208	0.4925930684239192	0.31664654513550566	0.5303300858899107	0.43367908266126226	0.5175518401768094	0.36052889977784236	10	111	52	578	60	215	853	333	194	155	36	135
день	1.224	0.40694995664282163	0.44625388032117985	0.2856506717850287	0.3839285714285715	0.407680779014566	0.4023315345233154	0.13532377919320593	0.521367912149463	0.6632079686310614	0.4343889379375103	0.3716329616687456	0.38008431755879934	0.3631782219225858	0.4682094472127096	0.30475663917206247	0.40827406290102547	0.41446056606707765	0.5341262462099916	0.14713435665674038	12	22	16	103	100	103	306	20	83	99	66	38
друг	1.1016949152542372	0.8667584825341179	0.8534180543382998	0.8913770053475936	1.0	0.8852217602217602	0.8748062015503876	0.8055555555555556	0.8330194024075299	1.0	0.8364888473315926	0.6978803010697598	0.9832872823957126	0.989415278850618	0.8760629765021543	0.9363291775690443	1.0	0.9723448696087956	0.9682458365518543	1.0	5	10	4	72	61	62	195	42	36	16	101	0
